ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC029_T2_B_AMR_R1	SC030_T2_B_AMR_R2	SC031_T2_B_AMR_R3	SC032_T2_B_AMR_R4	SC033_T2_B_AMR_R5	SC029_T2_B_AMD_R1	SC030_T2_B_AMD_R2	SC031_T2_B_AMD_R3	SC032_T2_B_AMD_R4	SC033_T2_B_AMD_R5
ENSMUSG00000001418	Glmp	-0.367009442	-0.896843195	-1.233377386	-0.771308007	-1.361086205	-0.005478404	-0.275671436	-1.03966882	-0.567173753	-1.952326627	1.195627778	1.780307609	0.786989232	0.941663195	1.113583509	0.513895656	0.380926593	0.552167701	0.694802855	0.509979147
ENSMUSG00000001467	Cyp51	-0.819698085	-0.701135473	-0.923369401	-0.869657528	-0.677540307	-0.660932889	-1.321670462	-1.129901392	-1.227047169	-1.115534413	1.179612221	1.146882937	0.76451613	1.310642196	1.1788526	0.723345036	0.481076296	1.052830904	0.837812919	0.770915881
ENSMUSG00000001930	Vwf	-1.384076893	-1.129769317	-0.179618402	-0.966859289	-0.711445878	-0.486094859	-0.256226638	-1.336872848	-1.767057593	0.18289938	0.356595449	0.546081062	0.59528398	0.962851484	1.636189893	0.268569265	0.800584042	1.866288674	0.44262141	0.560057078
ENSMUSG00000002059	Rab34	-0.955771721	-0.147053431	-0.144574599	-0.227602522	-1.177546072	-0.247623599	-1.799985476	-0.780193482	-0.720807327	-2.158930412	0.956211286	0.83226969	1.245975591	0.607785109	0.692430619	0.951449781	0.602768398	1.163619233	0.774696576	0.532882361
ENSMUSG00000002083	Bbc3	-0.712140559	-0.466666377	-0.893715836	0.554013176	-0.716847657	-0.127803652	-0.693808779	0.01743474	-1.766700039	-2.192886296	1.469242735	0.945364656	1.138106071	0.942529647	0.952674105	0.568810944	0.784353533	0.921755831	-0.232118709	-0.491597535
ENSMUSG00000002108	Nr1h3	0.184815142	-0.602934218	-0.813408064	-0.770097509	-1.275624624	0.237207245	-0.145612077	0.327621098	-0.686333016	-2.255109597	1.05039182	1.655078517	1.209576706	1.297735109	1.596833268	-0.338264457	-0.408152446	0.003794979	0.1137784	-0.381296274
ENSMUSG00000002228	Ppm1j	-0.062663618	0.023078304	0.176567285	0.055620074	0.597267278	-0.042332083	-0.256140755	-0.939067043	-0.997342865	-1.916822095	0.282204793	0.936173589	1.498449002	1.819241202	1.62049112	-1.329217325	-0.716471424	-1.096831246	0.564849573	-0.217053765
ENSMUSG00000002661	Alkbh7	-0.526046794	0.458574673	-0.74447699	-0.788339569	-0.667014473	0.61139322	-0.26626103	-0.846557885	-1.002643003	-2.810069062	1.068463771	0.639072181	1.360667517	0.6010392	0.515796371	0.594080227	-0.173531776	0.750476209	1.355467344	-0.130090131
ENSMUSG00000002797	Ggct	0.01106172	0.504495778	-2.240552726	-0.997808424	-1.195725103	-0.105597242	-0.380627972	0.079910178	-0.823587316	-1.23657135	0.893149542	2.315571769	0.161902143	0.911900826	0.66779875	-0.051964609	0.912928407	-0.210276043	0.018438129	0.765553542
ENSMUSG00000002910	Arrdc2	-0.708599552	-0.524889324	-0.860672197	0.462121867	-0.112947224	-0.56498212	-0.449117451	-1.287040753	0.689079812	-1.551934674	0.682403239	1.034656589	2.384396419	0.643448405	0.952079294	-0.867127906	0.051414284	1.389300319	-0.537786397	-0.82380263
ENSMUSG00000003039	Fam32a	-0.95720954	-1.380730604	-1.967206296	0.243769658	-1.247555164	-0.104391585	-0.243880459	0.175471356	0.632953117	-1.523642917	1.120938689	0.340193099	1.876044509	0.988459508	1.117854396	0.817546485	0.024590328	0.235167338	-0.159642441	0.011270523
ENSMUSG00000003199	Mpnd	-0.706407763	-1.173684568	-1.708469902	-0.48033924	-0.764780695	1.14863913	-0.410448846	-1.087822637	-0.367142935	-1.744978777	0.736007482	1.651682107	0.129269728	0.880271117	0.327601223	0.561429803	1.438955815	0.8509636	0.340222248	0.37903311
ENSMUSG00000003355	Fkbp11	-1.151449299	-0.156165216	-0.457392746	-0.446590949	-1.254855661	-0.442393377	-0.26260799	-1.287136221	-0.661496451	-2.112596175	1.036308938	1.662621703	1.095207893	1.04117927	1.271834014	0.331254626	0.358504546	0.652682926	0.650600293	0.132489875
ENSMUSG00000003363	Pld3	-0.676882409	-0.638005113	-0.812652087	-0.82847919	-1.181643234	-0.376858303	-0.596194559	-1.585156458	-1.050490896	-1.364662723	1.364109348	1.535021049	0.574121672	1.033518428	1.071369408	0.890828345	0.635328271	0.943406469	0.516844563	0.546477417
ENSMUSG00000003528	Slc25a1	-0.434938705	0.039783266	-0.236910763	-0.71487717	-0.478662023	-0.936816227	-0.198185471	-1.296781886	-0.333875067	-1.362632402	1.338219727	2.326259213	0.108188653	1.915523718	1.458127782	-0.374807587	-0.500091198	-0.024242494	-0.182793778	-0.110487587
ENSMUSG00000003617	Cp	-0.857808411	-0.628881884	-0.555747371	-0.029498317	0.289734911	-1.099104429	-1.204586232	-1.746361823	-1.140390301	-0.684958334	1.049989855	0.620637209	2.43316038	0.756500321	1.167777731	0.018253933	0.409528803	0.36953659	0.38720255	0.445014819
ENSMUSG00000003721	Insig2	-0.193771042	0.303927743	-0.016660488	0.692068176	-1.310282585	0.079198122	-0.540838518	-1.441859173	-0.807898453	-2.178742939	1.246514801	1.614362703	1.77399229	0.74374329	0.387249004	0.455586611	-0.517831049	0.408938526	-0.358519586	-0.339177433
ENSMUSG00000003849	Nqo1	-1.179239711	-0.240085811	-0.835274078	-0.751708649	-0.916252092	-0.901306168	-1.124742148	-0.599164388	-0.156214332	-1.619326144	1.170093465	1.978506589	0.228224892	0.985055678	1.386040668	0.443997726	0.712384925	0.069835879	0.164834472	1.184339227
ENSMUSG00000003873	Bax	-1.286392998	-0.333066778	-1.468173726	0.003694192	-0.660487304	0.772906519	0.669796088	-0.435570846	-0.424213783	-2.664062369	1.136069758	1.561927841	0.789758011	0.639655772	0.94302917	0.16389372	0.002865105	0.320485352	0.528679385	-0.260793109
ENSMUSG00000004032	Gstm5	-0.788785587	-0.550804286	-0.545730607	0.007171776	-1.570803466	-0.203935356	-0.951730419	-0.793517511	0.291364273	0.716940549	0.762884095	1.260763861	2.144740402	0.584561686	0.892855526	-1.510566754	0.10337388	1.338077493	-0.126745694	-1.06011386
ENSMUSG00000004040	Stat3	-0.803622559	-0.837592604	-1.239623342	-1.061543539	-0.961524457	-0.619049638	-0.531755074	-1.500363183	-1.084387317	-0.626619893	1.014257991	0.941644166	1.157271549	1.374306556	1.449646524	0.752679865	0.588542827	0.42560858	0.681351713	0.880771834
ENSMUSG00000004359	Spic	-0.58507488	-0.463989926	-1.213691699	-1.272737307	-0.911058555	0.471947232	-1.818082883	-0.474727683	-1.298140959	1.053941164	0.872141097	-0.439825723	1.353734567	1.178803263	1.547914811	0.90667587	0.638078959	-0.068797956	0.145170599	0.377720009
ENSMUSG00000004394	Tmed4	-0.480950452	-0.144523974	-0.634887989	-1.108171065	-1.417596153	0.474550259	-1.936148914	-0.437620493	0.137790819	-1.824014244	1.802051675	0.777315544	0.449904714	1.038691822	0.399467437	0.737795504	0.157301165	1.175554713	0.36748976	0.465999873
ENSMUSG00000004446	Bid	-0.897056426	-0.247374969	0.139884219	-1.461730232	-1.07566009	-0.514583434	-0.124266382	-1.420037594	-1.194535172	-1.27312202	1.46376429	1.80528317	0.730158689	1.205337371	1.054235099	0.497666999	0.674534261	0.509494703	0.005491138	0.12251638
ENSMUSG00000004455	Ppp1cc	-0.67175841	-0.043739963	-0.848697351	-0.310690556	-0.884528919	-0.923015084	-1.292566577	-0.660586979	-0.536287531	-1.150094776	1.024464415	2.4087343	1.263986064	1.163433165	1.442094906	-0.436090453	0.183851788	0.445587471	-0.257568865	0.083473358
ENSMUSG00000004609	Cd33	-0.913248582	-0.509898237	-0.537351853	-0.337045719	-0.241286344	0.040549377	-0.065908794	0.839066036	0.062628938	1.343533738	-0.195741922	1.068524273	2.122901692	1.063972936	1.299257732	-1.131514903	-0.897118328	-0.073543027	-1.386162605	-1.551614408
ENSMUSG00000004815	Dgkq	-0.144312258	-0.313060535	-0.564237821	0.060159413	0.774856011	-1.377517612	-0.516704673	-1.541016868	-2.089063799	-1.521951685	0.707316	0.416126418	1.517950635	0.304169416	1.156841384	0.838066402	0.579684473	0.980314494	0.543612061	0.188768545
ENSMUSG00000005204	Senp3	-1.179739446	-0.723581833	-0.224118214	-0.840821908	-0.569328834	-0.937498741	-0.6995492	-0.91533678	-1.557118762	-1.036251762	1.080757605	0.885480729	1.919690222	0.659181468	0.99937202	0.631248273	0.852453676	1.42885795	-0.02057519	0.246878727
ENSMUSG00000005267	Zfp287	-0.412202773	-0.536718814	-0.630160529	-0.052518567	-1.156365545	-1.045223165	0.428873508	-0.244637208	-2.001306578	-1.772132137	0.184391076	0.487508443	0.759742595	0.549223896	0.58241353	0.513824601	1.36711935	2.069917173	0.413787014	0.49446413
ENSMUSG00000005413	Hmox1	-1.052038735	-0.616265821	-1.237574407	-1.257666476	-1.354341594	-0.616080415	-0.884316494	-0.5373965	-0.290148385	-1.322176301	1.270216411	1.559482588	0.833111281	0.769297601	0.873897072	0.937676968	1.02312972	0.800919103	0.637720441	0.462553943
ENSMUSG00000005800	Mmp8	-0.98516297	-0.616422995	-1.867720745	-0.937374851	-0.96123173	0.008688465	-0.817383963	-0.039191292	-0.765807627	-0.527090116	0.473129911	1.225341618	2.247562314	0.888844562	0.217777072	0.215377081	0.59418063	1.641107708	0.245006179	-0.23962925
ENSMUSG00000005881	Ergic3	-0.35707982	-0.944113461	-0.796802794	-0.104059517	-0.369146705	0.93909804	-0.313783404	-0.692595226	-1.392004015	-2.813350577	0.957939575	1.14756126	0.481778704	1.095904102	0.571928597	-0.023956881	0.494331214	0.491959284	1.015904306	0.610487318
ENSMUSG00000006219	Fblim1	-0.913233011	-0.484202128	-1.225814053	-1.227054042	-1.38087541	-0.284252444	-0.753648642	-0.813283387	-0.499133931	-1.520919271	1.010998004	1.021571115	1.252600089	0.951006028	0.866471062	0.786936367	0.639382912	1.47601201	0.698913744	0.398524984
ENSMUSG00000006344	Ggt5	-1.064043567	-0.850060215	-0.870037867	-0.979446735	-1.334883764	0.037368298	-0.894846937	-0.477842112	-0.124877914	-1.335202121	1.109056619	1.274186062	1.846671947	0.723402961	1.35283372	-0.664705489	0.654468732	1.08413687	0.148683896	0.365137617
ENSMUSG00000006476	Nsmf	-0.394933037	-0.119849845	-0.550571927	-0.291809209	0.860122691	-1.757942594	-0.925332188	-0.922422926	-2.010598119	-0.810029748	0.86517987	-0.430597012	1.269940322	0.529111336	1.128682965	0.804180453	-0.158926124	1.578889931	0.820693591	0.51621157
ENSMUSG00000006517	Mvd	-1.090052377	-0.569474554	-1.09816134	-0.874078137	-0.844190542	-0.438346003	-1.189885915	-0.751643323	-0.923868402	-1.475773188	1.124679704	1.411617042	0.809129001	1.374118488	1.124156508	0.491306216	0.434359629	1.000055154	0.774260489	0.711791551
ENSMUSG00000006850	Tmco6	-0.858627624	-0.528648466	-1.287601142	-0.427876681	-1.371390019	0.557614672	-0.022719058	-0.012432641	-2.181661399	-1.463337175	0.583794714	0.706957848	1.470785039	0.045344789	1.166726016	0.783630677	0.563600347	0.845304962	0.793938908	0.636596233
ENSMUSG00000006932	Ctnnb1	-0.883075614	-0.505506014	-0.877878647	-0.715484924	-1.324966997	-0.388460001	-0.504817964	-0.661663862	-0.720086174	-1.664786892	0.985046164	1.833850636	1.607008456	1.095054336	1.429593601	0.136598315	0.325993322	0.707081476	0.089276891	0.037223891
ENSMUSG00000007038	Neu1	-0.422603443	0.540052856	-0.936931524	-0.108398071	-0.458243343	1.436623959	-0.266465715	-0.701032079	0.239096558	-1.966870572	0.607842453	1.436574043	1.653482443	0.808565451	1.01541757	-1.19290097	-1.078235615	0.734205919	-0.710767607	-0.629412313
ENSMUSG00000007777	0610009B22Rik	-1.170330552	-0.451407834	-0.718419647	-0.645313131	-1.253042236	-0.812366727	-1.114970263	-0.384186358	0.021146674	-0.345149931	0.110105869	1.586503605	0.358015019	0.923673948	0.951602031	-0.475823415	0.140364886	2.407318891	-0.542602419	1.414881589
ENSMUSG00000007837	Prrg2	-0.926149543	-0.487503857	-0.166491473	-0.144501944	-1.152168073	-0.602581051	0.429878074	0.020999286	-1.261060709	-2.826559431	0.807709633	0.673594431	0.814502544	0.992723353	0.115921572	0.990658751	0.393137862	1.411863004	0.661845134	0.254182436
ENSMUSG00000007891	Ctsd	-0.955919869	-0.729413058	-0.950439046	-0.936638237	-1.252288443	-0.52492328	-0.786954615	-0.997395901	-0.892424794	-1.367724152	1.226668209	1.432242989	0.985651315	1.066485654	1.137855211	0.656124531	0.590580678	1.069495086	0.687287427	0.541730295
ENSMUSG00000008845	Cd163	0.48949869	0.417534109	0.79300238	0.382573287	0.846595602	-1.207214029	-1.22837209	-0.42216811	-1.184340656	-0.90796379	0.93909239	-0.232332323	2.71933042	0.269533463	1.014148256	-1.237748819	-0.345175641	-0.761651205	-0.161585416	-0.182756517
ENSMUSG00000009035	Tmem184b	-0.813357846	-0.296676315	-1.050809648	-0.963800012	-0.847825152	1.338363312	-0.626358395	-1.835915688	-0.843358369	-1.168915768	0.692778981	0.889632592	1.231272391	0.701426877	1.156871705	0.621531478	0.124933741	1.638611333	0.309265196	-0.257670413
ENSMUSG00000009185	Ccl8	-0.127740423	-0.167929057	-0.435427796	-0.155048052	-0.144636318	-1.228152889	-1.508141907	-1.447009394	-1.014461065	-1.803870975	1.395397897	0.673587084	1.615208359	1.112305831	1.145630213	0.413693012	0.689119285	0.190622909	0.428907076	0.367946208
ENSMUSG00000010047	Hyal2	-0.121938141	0.454498077	-0.98090972	-1.005951884	-0.212546073	1.197556865	0.374098974	-0.776485717	-1.585145453	-1.239202823	0.359935035	0.961214804	2.154591542	1.569948053	1.003773119	-0.045277744	-0.30066235	-0.925584716	-0.55894519	-0.32296666
ENSMUSG00000010051	Hyal1	-1.250230427	-0.37399626	-0.371343743	-2.209600031	-0.029508697	-0.601177884	-0.613745493	-1.78912909	1.1748949	-0.88271848	1.018522875	0.952656992	0.858224757	0.831921877	1.245511017	0.215809551	0.429143791	0.470793894	0.030031031	0.893939418
ENSMUSG00000011884	Gltp	-0.492945958	-0.713256469	-1.120373968	-0.937252372	-1.242540663	-0.033918504	-0.972473442	-1.586784791	-0.680968509	-1.365528669	1.092897699	1.264902279	1.105769665	0.961081356	0.928646018	0.737662231	0.737832163	1.020718787	0.60669527	0.689837876
ENSMUSG00000014177	Tvp23b	-0.879505338	0.331894334	-0.757215697	-0.712609406	-1.393268834	-0.214048747	-0.311767528	-0.721350609	-0.513405287	-1.914912719	1.840166301	1.112641648	1.085075179	0.978032143	0.910913431	-0.044715735	-0.694000477	1.414429301	0.636163057	-0.152515016
ENSMUSG00000014243	Zswim7	-1.277492244	-0.52748715	-2.437008456	0.019230616	-0.732291045	-0.809927973	0.538728872	-0.107426062	-0.754744534	-1.095112228	1.657373151	1.52593324	0.454212864	0.548189119	0.164498704	1.107370757	0.824036294	0.502353917	0.05704113	0.342521028
ENSMUSG00000014353	Tmem87b	-0.759257367	-1.001730125	-0.073635683	-1.055806822	-0.079295162	-1.834682132	-0.687416887	-1.15235732	-1.516981802	-0.387628275	0.757235217	0.489922405	1.447503343	0.703391598	1.124482404	1.217028745	0.602438738	1.331382849	0.500370591	0.375035682
ENSMUSG00000014686	Ceacam16	-0.962021846	-1.85242593	-0.026006433	-0.518838246	-0.359758247	-0.463752159	-0.755011021	0.099486895	-0.860726378	-0.587968602	1.125362544	1.89375556	1.32428997	0.83594172	2.007304595	-0.105889778	-0.668863065	0.487615701	-0.038223004	-0.574272278
ENSMUSG00000014867	Surf4	-0.986572114	-0.418525948	-1.262194785	-1.284653574	-1.923605096	0.289846334	-0.446040842	-0.486470064	0.543694704	-1.521861721	0.52596606	1.179045715	0.760819869	1.542794578	0.152599033	0.286085094	0.50384709	0.491433293	1.496533609	0.557258764
ENSMUSG00000015027	Galns	-0.416318017	-0.701021777	-0.568531865	-0.214439982	-1.167998342	-0.650517685	-1.181178134	-1.65622123	-0.510198115	-0.736428427	1.535835162	2.01205199	-0.377465064	1.268599698	1.493132488	0.526012992	0.513556587	0.048131734	0.386033656	0.396964331
ENSMUSG00000015335	Zdhhc12	-0.41524636	-0.853190592	-1.351868497	-0.415367873	-0.414106561	-0.273440764	0.232125628	-1.784433481	-0.309863401	-2.243284136	0.658621437	1.431250884	0.449332938	0.970598969	0.369149726	0.976745572	0.392905883	1.347753391	0.757994414	0.474322822
ENSMUSG00000015488	Cacfd1	-1.055019863	-0.554228913	-0.351100163	-0.305591557	-1.050762334	0.378246534	-1.092478432	-0.926549406	-1.092235996	-2.05510455	0.86158026	1.11464241	1.671599108	0.315455553	0.994181019	0.189069624	0.747367984	1.345555095	0.406837033	0.458536595
ENSMUSG00000015542	Nat9	-0.377075164	-0.625822797	-0.891288695	-0.550405535	-0.708003935	-0.210196326	-0.804460941	-0.281417699	-0.39384923	-1.623993297	0.256008173	1.870049057	-0.053978085	2.209175458	0.760834435	0.911852181	-0.699831797	0.096650723	1.636451205	-0.52069773
ENSMUSG00000015702	Anxa9	-1.363673245	-0.203622397	0.037434855	-1.098653852	-0.888043119	-0.237365874	-0.988550448	-2.273708317	-0.462704692	-0.945984135	0.608579172	1.435971225	0.804634933	0.468781815	1.072875043	0.772475382	1.045614441	0.778063421	0.788847986	0.649027805
ENSMUSG00000015709	Arnt2	-0.646479829	-1.240114693	-1.240114693	-0.766306995	-0.962732703	-0.630008948	-0.926721719	-0.61151429	-1.240114693	-0.771319818	1.158123853	1.240857634	1.297934077	1.22772823	1.49991469	0.621141589	0.63967864	0.97083167	0.410546103	-0.031328104
ENSMUSG00000015711	Prune1	-0.670158809	-0.751205031	-0.41945352	-2.138787726	0.189765328	-0.045812147	0.269540901	-1.159777517	-0.250379036	-1.649304743	1.09674543	0.60902982	0.813832377	1.325800195	0.608469159	0.177447278	-0.086347009	2.105351782	0.271923036	-0.296679768
ENSMUSG00000015950	Ncf1	-0.380459293	0.808810299	-0.90827041	-0.162880862	-0.916981625	-0.099831124	-2.261550897	-1.819028392	-0.203071645	-1.165028607	0.68178468	0.078597853	1.012081138	0.910081865	0.511313046	0.780264139	0.09991923	1.354158131	1.177582486	0.502509991
ENSMUSG00000016496	Cd274	-1.450814899	-0.544483271	-0.708009569	-0.830211315	-0.683318898	-1.191128612	-1.016973913	0.002173061	-1.155509278	-0.750527199	0.979452101	1.789882034	0.332675713	1.05776994	1.837836013	0.025357968	0.657995118	0.668834841	0.010259437	0.968740728
ENSMUSG00000017167	Cntnap1	-0.983808967	-0.282907987	-0.279392305	-0.085735107	-0.60039831	-0.628420401	-0.28917371	-0.649850337	-1.973686827	-1.497679568	-0.270914577	0.926383591	2.009173468	0.291444962	0.183985093	0.424921648	0.905941391	1.975418109	0.673205833	0.151494001
ENSMUSG00000017390	Aldoc	-0.724142855	-0.258426791	-0.575503408	-0.410206713	-0.776590272	-0.322598066	-0.975573898	-1.003524347	-1.350008236	-1.736097518	1.028732227	1.787852723	1.228317864	1.313519689	1.530974594	-0.081495852	0.089535648	0.587730264	0.276694249	0.370810698
ENSMUSG00000017493	Igfbp4	-0.623699088	-0.293667268	-0.65072091	-1.151129358	-0.158815894	-1.970076694	-0.37428294	-1.513875289	-0.774421205	0.064925249	0.059256272	0.391508449	2.530944121	0.512141112	0.527651911	0.453812574	0.391884784	1.023413994	0.538166377	1.016983801
ENSMUSG00000017713	Tha1	-1.541800835	-0.59016742	-0.487684726	-0.725185398	-0.994796296	-0.979043091	0.481336447	-0.413593694	-1.057734235	-1.768772709	0.370098895	1.74931318	1.481697058	0.730687931	1.118926577	0.451816077	0.376576017	0.284878152	0.472284833	1.041163236
ENSMUSG00000017747	Ghdc	-0.435459435	-1.111067401	-0.088385757	0.14748858	-1.338201728	-0.268828077	0.305720346	-0.074555121	-0.975185153	-1.290937019	1.879641808	1.309611545	0.75517395	0.915317332	0.723931343	-1.207170539	-0.468993517	1.569653514	0.716335801	-1.064090472
ENSMUSG00000017802	Retreg3	-1.248076291	-0.149898636	-0.513346126	-0.579182893	-0.994684924	-0.933613115	-0.425956578	-0.940167637	-1.933118109	-0.904183875	0.939031387	1.557628558	1.289236438	0.82732736	1.403941978	0.315819879	0.755409035	0.923477572	0.255806373	0.354549605
ENSMUSG00000018102	Hist1h2bc	-0.590363763	-0.443462992	-0.748899352	-1.129387562	-1.781406708	0.334875212	-0.687569838	0.293825122	0.643877689	-1.493951566	1.128628141	1.418194451	1.815651289	0.743179347	0.723293435	0.302546011	-0.995859284	1.064948871	-0.106778344	-0.491340156
ENSMUSG00000018167	Stard3	-0.519578579	-0.201219221	-0.442161598	-0.154740414	-1.35354748	0.651283801	-0.436398747	-0.551168147	-1.97961491	-2.253397563	1.064122599	1.210934382	0.525957594	0.522393876	1.162415969	0.467138698	0.719770631	1.164919906	0.357948486	0.044940716
ENSMUSG00000018427	Ypel2	-1.076165485	-0.207862919	-0.035816881	-0.338039944	-0.327039848	-1.459532008	-1.883940749	-0.785182883	-1.754517262	-0.309536214	1.041628017	0.750529297	1.30092867	0.923893905	0.937108798	0.511607708	0.495679832	1.427078553	0.693071071	0.096108342
ENSMUSG00000018449	Rpain	-0.202625679	-1.796255632	-1.394473029	-1.492781303	-0.787918554	-0.094835947	-0.753390863	-0.114779794	-0.766190628	-0.472097965	1.360147928	1.417853138	0.552222218	1.148310792	1.417192212	0.522903037	0.100610777	1.264344329	0.329002068	-0.237237104
ENSMUSG00000018474	Chd3	-1.206743113	-0.853029695	-0.938864819	-0.886880199	-0.692368283	-1.118051173	-0.326537809	-0.325859718	-0.999788594	-1.162739006	0.462107795	-0.006750323	1.754585245	0.803835038	0.720681426	0.918489217	0.832480084	2.106349149	0.481025462	0.438059316
ENSMUSG00000018599	Mief2	-0.566098109	-0.659920818	-0.843767937	-0.167517468	-0.743244538	0.030302796	-1.372314999	-0.854100498	-1.100244756	-1.764054591	0.983711347	0.270100843	1.773720785	0.661430437	0.404293284	0.180837293	1.863794362	0.728693177	1.087618066	0.086761322
ENSMUSG00000018677	Slc25a39	-1.173788742	-0.09922038	-0.981854006	-0.902017071	-1.862879552	0.418667046	-0.267389227	-1.657549876	-0.001879887	-1.144277536	1.154149892	1.52573145	0.256723499	1.114094922	0.724315388	0.515991407	0.506233968	0.667721516	1.263924622	-0.056697431
ENSMUSG00000018774	Cd68	-0.969118401	-0.903123724	-0.990070927	-1.043531508	-1.495690744	-0.914674798	-0.818503347	-1.015385398	-0.641155594	-0.593421092	1.318424724	1.494272282	0.896743154	1.061519255	1.03200516	0.8160865	0.557875546	0.83829708	0.847990396	0.521461435
ENSMUSG00000018846	Pank3	-0.713094717	-0.406534474	-0.106191639	-0.857674809	-0.418216097	-2.012316235	-1.479773132	-0.524573566	-1.044942039	0.760395595	1.125253204	0.416440949	1.528931329	1.35831866	0.957289009	0.12670875	-0.261325976	1.610409271	0.000602415	-0.059706498
ENSMUSG00000018927	Ccl6	-1.038935294	-0.478909234	-1.16352501	-1.049525162	-1.519086959	0.104100078	-0.571926208	-0.295728364	0.051823764	-0.942994752	0.912820897	1.326709658	2.142543747	1.008953778	1.249542845	-0.385068013	-0.493392261	1.193171546	0.099481045	-0.150056099
ENSMUSG00000019055	Plod1	-1.091006285	-0.91398901	-1.517235217	-0.75651265	-1.215468006	-0.116339095	-0.33593636	-0.633174494	-1.124348983	-1.170512978	1.159992955	1.804460092	0.627364452	1.133606841	1.043042578	0.319031729	0.724611115	0.520227312	0.826759218	0.715426786
ENSMUSG00000019087	Atp6ap1	-0.109270644	-0.693572312	-0.703859636	-0.54694992	-1.233849268	-0.353204136	-1.091656682	-0.472137497	-0.085122447	-2.266769103	1.211472101	1.61541941	0.637718399	1.633469385	0.792604952	0.716963867	-0.508870924	0.437064484	0.856716947	0.163833024
