ensembl_gene_id	gene_name	SC01_T3_N_AMD_R1	SC02_T3_N_AMD_R2	SC03_T3_N_AMD_R3	SC04_T3_N_AMD_R4	SC01_T3_N_AMR_R1	SC02_T3_N_AMR_R2	SC03_T3_N_AMR_R3	SC04_T3_N_AMR_R4	SC06_T6_N_AMD_R1	SC07_T6_N_AMD_R2	SC08_T6_N_AMD_R3	SC09_T6_N_AMD_R4	SC10_T6_N_AMD_R5	SC06_T6_N_AMR_R1	SC07_T6_N_AMR_R2	SC08_T6_N_AMR_R3	SC09_T6_N_AMR_R4	SC10_T6_N_AMR_R5	SC11_T18_N_AMD_R1	SC12_T18_N_AMD_R2	SC13_T18_N_AMD_R3	SC14_T18_N_AMD_R4	SC15_T18_N_AMD_R5	SC11_T18_N_AMR_R1	SC12_T18_N_AMR_R2	SC13_T18_N_AMR_R3	SC14_T18_N_AMR_R4	SC15_T18_N_AMR_R5	SC16_T24_N_AMD_R1	SC17_T24_N_AMD_R2	SC18_T24_N_AMD_R3	SC19_T24_N_AMD_R4	SC16_T24_N_AMR_R1	SC17_T24_N_AMR_R2	SC18_T24_N_AMR_R3	SC19_T24_N_AMR_R4
ENSMUSG00000002014	Ssr4	-0.831373644	-0.029843804	-0.973006749	-1.355627635	-1.268272621	-0.202759288	-1.018925766	-1.007494771	-0.752978122	-1.223189427	-1.207172839	-0.653481515	-0.926107034	0.051099881	-0.687439598	-0.802992565	-0.529338534	-0.882541874	-0.02032624	0.698599005	0.971147903	1.005842592	1.071078546	0.713595404	1.122751386	0.455034126	0.18828258	1.024086806	2.092529506	0.985865018	-0.61359101	1.475715981	0.989736023	2.121140915	-0.62285321	0.642810573
ENSMUSG00000002015	Bcap31	-0.660856302	-0.684973211	-0.493641105	-0.44891658	-0.630249503	-0.968392339	-0.940317841	-0.920460781	-0.971668973	-1.257697591	-1.303337201	-1.192881233	-0.893165999	-0.400718297	-0.72184599	-0.654886873	-0.969294562	-1.003270329	0.213665502	0.103036366	0.616602373	0.803332696	0.408409264	0.573097171	0.518346789	0.052051738	0.295651746	0.336154643	1.326000244	1.320742313	0.229091928	2.408209644	1.177066895	2.315094565	1.25269224	1.167328594
ENSMUSG00000002059	Rab34	-0.600403168	-1.488562881	-1.478572229	0.540381732	-0.472225228	-0.344260715	0.185773822	-1.58030797	-0.930665573	-0.544479946	-0.886521476	0.209265622	-1.581455547	-0.400790629	-0.823077202	-0.384359269	0.392277608	-0.839780852	-0.154002093	-0.074741005	-0.364422278	-0.122583388	0.065838337	1.726705565	0.720876034	0.44844337	0.513044755	0.839820376	-0.11084445	0.785916315	-0.469572449	0.997736594	0.908679114	3.267506407	1.490214008	0.55914869
ENSMUSG00000002102	Psmc3	-0.08496625	-0.807368126	-1.228019097	0.492781845	-0.460774901	0.337083	-0.339781191	-0.587588409	-0.14024318	-0.189992253	-0.061165304	0.224512327	-1.331311684	0.904301414	0.235735564	-1.162692151	-0.243229153	0.710285772	0.953309716	0.973270254	1.247555319	0.689803428	-1.093564829	-2.001614078	-1.11982548	-0.642066979	-1.218159349	0.716263051	1.23155924	2.625201463	-0.030161926	2.374970285	-0.141862732	-0.454793406	-0.065372929	-0.312079273
ENSMUSG00000002108	Nr1h3	-0.783867734	-1.29397762	-1.927245331	0.136360356	-1.070388782	-1.207577485	-0.763629947	-1.191479641	0.021909207	-1.277169606	0.06329467	-0.422900164	-1.11779592	0.123528179	-0.704615535	-0.491719228	-0.347523775	-0.639981945	0.297773481	-1.150360571	0.34033779	1.754088131	0.046644768	0.38832301	0.019219835	0.415775269	0.054157175	0.656267627	0.741962809	1.281765861	1.411787909	2.178865041	0.433414073	1.524988185	1.458882008	1.0408879
ENSMUSG00000002111	Spi1	-1.400156224	-1.645725923	-1.470350058	-1.557527012	-0.566622024	-0.776557441	-0.640986211	-0.480252274	-0.982078913	-1.166217352	-1.732167198	-0.29130534	-0.248648951	0.781461314	-0.856630975	-0.559587378	-0.002191756	-0.12496036	0.585030652	1.525207442	0.986250315	1.314955706	-0.15998438	1.416455984	1.075579191	0.275289022	0.347792017	1.399471955	0.775048718	0.608957281	-0.388531548	0.809722374	1.888481812	0.758327493	-0.117997937	0.620447979
ENSMUSG00000002233	Rhoc	-0.128943853	-1.096448452	-0.133436844	0.147179196	-0.60468034	-1.657823457	0.294214041	-0.942039454	-0.627722799	0.09423205	0.186360678	0.044219159	0.271408263	-0.663789106	-0.969945164	-1.137750195	-1.407952732	-0.526067532	0.48575438	1.427879372	3.254994269	2.37396819	0.758645789	0.176748888	0.548489668	1.160176931	0.738015315	-0.396632814	-0.829704636	0.894358108	-0.303079082	0.244658576	-0.16601596	-0.788941305	-0.047989211	-0.672339934
ENSMUSG00000002325	Irf9	0.248283379	0.327969769	-0.132724132	-0.122263816	-2.410740146	-0.742422287	-0.070606635	-0.688726516	-0.18984531	0.36594921	-0.811912091	-0.981976397	1.049332414	-1.628257391	-1.014637471	0.353904828	-1.14668881	-0.019976808	1.355178629	0.852292605	1.679045562	1.001543963	0.541830437	-0.445665863	-0.236864118	0.194523587	0.143910049	0.552325501	1.243666643	2.386498235	0.439956586	-0.71022489	-0.847851218	1.022318874	-1.707748415	0.150602044
ENSMUSG00000002379	Ndufa11	-1.123412617	0.157729434	-0.679288633	-0.848610469	1.524742869	0.636673215	-0.465703505	-1.72281731	0.03970968	-1.562109121	-1.156060193	-0.545955329	-1.872524808	-0.194288576	-0.678370031	-0.408588886	-0.310310851	-0.829519249	0.905887994	1.480180203	1.486648482	1.407006749	0.995491028	1.103632368	-0.209904732	-0.463561913	-0.45338492	0.44389351	0.546872358	1.02395839	-1.107261402	0.152269658	1.475407142	1.630245006	-0.120482222	-0.258193319
ENSMUSG00000002395	Use1	-2.204201818	-0.439258317	-0.746120375	-1.780921529	-0.959440641	-0.95348068	-1.393140509	-0.688737481	-0.934972641	-1.103831091	-0.760437006	0.109358807	0.632303822	-0.037547056	0.109514052	0.041890372	0.357966095	0.126745498	-0.125140074	0.799799478	0.946111476	0.183775872	0.893113601	1.78062876	0.282018463	0.058757567	-1.171664165	0.765488537	0.760470419	0.953615654	0.093455035	-0.643126603	0.621293298	2.016154404	0.236506294	2.173052488
ENSMUSG00000002458	Rgs19	-1.293202446	-2.326398361	-2.072089366	-2.405068577	-0.114506789	-0.381870808	-1.304797829	-0.203244372	-0.59974752	0.000718734	-0.430520092	-0.749425347	-1.412595006	-0.187211658	0.452141186	0.298154506	0.264331889	0.252187764	1.224148196	1.449947255	0.536662718	1.523996008	1.129723489	0.782976511	0.78689989	0.482502906	0.444356976	1.100122705	0.85185598	-0.316070818	0.368946516	0.767716228	0.506378212	0.377134592	0.241916426	-0.046069696
ENSMUSG00000002728	Naa20	-0.880943383	-0.541311128	0.201569671	-0.394932619	-0.788352018	-0.306652827	-1.3371761	0.206547455	-0.131799977	-0.078397921	-0.003536855	0.008979844	-2.427477707	-0.225875139	-2.522133565	-0.463634224	-1.36863885	-0.788389234	1.386070787	0.574691073	0.809407698	1.622991124	0.882829117	0.139104271	0.605421136	-0.453079344	0.725830784	0.056230096	-0.279889429	1.941169275	-0.35646579	1.349251979	0.509196078	1.526922625	0.370157887	0.432315213
ENSMUSG00000002733	Plekha3	0.383402645	-0.53456011	0.270695238	-0.189652576	-1.648380386	-0.701894797	-0.388979606	-1.639525918	-0.026452939	-1.248784049	0.667488093	0.731301293	0.431863033	0.289418056	-0.497553666	-1.517457685	-0.552917246	-2.228811034	0.271768822	0.3786614	0.962258794	1.09789138	0.540219303	-0.371647995	-0.363386353	-1.27974844	1.050294719	0.237576575	1.046419329	1.889531402	1.752749025	0.801465131	1.097407324	-0.645454256	0.983222436	-1.048426938
ENSMUSG00000002767	Mrpl2	-0.109310736	0.541631108	0.024450763	-0.26341899	-0.410311178	-1.773105902	-0.453607856	-0.809034961	-1.397273209	-1.896693644	-0.416588217	-0.711093962	-0.982049303	-0.345876131	-0.883844292	-1.27310755	-0.555910003	-0.261343204	1.298809897	0.452516283	0.822215288	1.126253668	0.167313417	0.369290771	0.116563571	0.520162488	0.427676446	1.951423369	1.351703212	2.355947113	-1.686518938	0.239041394	0.692095612	1.0145464	0.308498677	0.4489486
ENSMUSG00000002768	Mea1	-1.0902628	-0.081682863	-1.004059471	-1.329177494	-0.234522223	-0.281335646	-0.207065228	0.208695564	-1.105583291	-1.123191022	-0.857108146	-1.317524415	-1.563023065	1.617798088	0.348382099	-0.033608237	0.714420781	-0.512832924	-0.563663531	0.072224613	1.552707922	0.909283212	0.405882809	2.150774184	0.106139487	0.213531283	-0.102016681	2.082865523	-0.185013138	0.478674169	0.516004544	1.502510873	-1.331591017	0.962516258	0.325502958	-1.244653177
ENSMUSG00000002831	Plin4	-0.866508614	-1.154706142	-0.975780569	-1.175418176	-0.821740261	-1.029971867	-1.00447852	-1.012211555	-0.64790529	-0.727247297	-0.697416178	-0.131216868	-1.704348595	-0.486105601	0.088867893	0.128073904	-0.389353226	-0.520701164	0.269779301	0.021003015	0.404330184	-0.817925809	1.248786674	0.827129233	0.938457076	1.960718718	1.524182513	1.099439126	0.081941569	-0.738392127	0.008244881	0.979858754	1.310379672	2.245515603	0.364195695	1.400524046
ENSMUSG00000002871	Tpra1	1.087762067	-0.525715644	0.332128735	0.774837647	-1.158426929	-1.639133832	0.317177374	-0.999990419	-0.903809347	-0.452540488	-0.891147746	-0.222556594	0.510340545	-0.801034972	-1.05595619	-0.834003636	-1.854067741	-0.511207741	0.3219445	0.245302697	-0.795085497	1.776899012	1.393220199	-0.302993742	0.243439672	-0.561076498	0.069004796	-0.458657301	0.905300639	1.961882916	1.103602244	2.049511962	0.437161717	1.260062054	-0.978628769	0.156454307
ENSMUSG00000002910	Arrdc2	-0.869471207	-0.78644426	0.566045343	-0.792489853	-2.694542653	0.131337508	-0.523873411	-1.72789617	-0.25612414	-0.59095251	-0.75980708	-0.175831642	-0.180567602	-0.040962651	-0.381409013	-0.854796063	-0.388070481	-0.830154032	0.191080884	-0.492746955	1.84689772	2.113439264	1.577951156	0.345946603	-0.122853101	1.737436127	0.400591782	1.151612521	1.043497169	0.57769944	0.2856393	0.658447666	0.510979606	-0.855428064	-0.659100645	0.844919446
ENSMUSG00000003072	Atp5d	-0.567290899	-0.177825334	-0.827848124	0.14138047	0.708279579	0.070620793	-0.836714804	-0.958430704	-0.4505213	0.132094005	-1.390515965	-0.583507533	-1.534942859	-0.297222401	-1.619823666	-2.236533574	-0.336309888	-1.124281439	0.624937734	1.314913103	0.349327719	1.335413448	0.800488098	1.211535431	0.103383253	-0.493611835	-0.423146822	0.735384997	1.687078627	1.663440271	0.209261301	0.808182125	1.061327525	1.719081207	-0.266913475	-0.550689063
ENSMUSG00000003166	Dgcr2	0.689772204	0.545764051	-0.318455646	-0.033939586	1.585811227	-0.215445901	0.233231653	-1.505829588	0.880827084	-1.781851096	-1.160180968	-1.824886864	-0.654922449	-1.282108334	-0.413949828	-1.479403909	-0.686989162	-1.130361139	0.943203836	0.51497575	1.776718473	0.235559711	1.09150643	1.514598432	0.803320367	0.536764477	0.662177624	0.355703889	1.243378993	0.115452582	-0.111884823	0.937706923	-0.526779285	-1.511510669	0.168514637	-0.196489095
ENSMUSG00000003355	Fkbp11	-0.798125742	-0.571765007	-0.701878821	-0.791269705	-1.305674042	-0.168782832	-0.651963414	0.076266901	-0.691632269	0.15594629	1.228532324	-1.545505604	-1.28124314	-1.14530811	-0.754480346	-1.130099385	-0.787797321	-0.207708043	0.408458602	0.00538653	1.256260128	-0.518707548	-0.037108972	0.81865056	1.083699475	1.057503696	0.386792767	1.235636744	0.302746821	0.388431419	-1.272664245	0.937108424	1.054765388	3.160505309	0.217240719	0.587782448
ENSMUSG00000003380	Rabac1	-0.679351823	-0.481103972	-0.881684582	-2.040510611	-0.550452238	-0.752657564	-1.195455452	-0.878600492	-1.269822464	-0.253834326	-0.625004354	-1.388846151	-0.511540807	0.497049355	-0.078208814	-1.204822043	0.302553566	-0.766615846	0.37909268	0.757219902	2.175513259	0.779958491	0.362670404	1.55534658	0.54962224	0.643436817	-1.350631956	1.159240061	0.349194367	0.810320972	1.316783071	-0.586672802	1.017542422	1.458389541	0.996331243	0.385551328
ENSMUSG00000003429	Rps11	-0.809667932	-0.63222662	-0.701379937	-1.163094351	-1.437351392	-0.252069535	-1.105707995	-0.169269754	-1.065068847	-0.781546192	0.014555161	-0.608977364	-1.676960575	0.328355516	-0.180281743	-0.409961992	-0.631739849	-0.465787809	1.885858927	0.940245668	1.858949087	0.808311378	1.420452771	0.193402425	0.104572932	-0.76018309	-1.336604067	0.748340144	1.74875504	1.219776622	-0.924846834	0.699868708	1.18833072	1.209201433	-0.005157147	0.748906489
ENSMUSG00000003546	Klc4	-0.063008379	-0.118124107	-0.460258038	0.504759662	-0.65827325	-1.201301485	-1.762454299	0.0068159	0.453716867	0.529419384	0.633122559	-0.427067185	-0.483938707	-0.647608802	-1.872699665	-0.491713947	0.165834137	-0.792393183	0.365581057	0.797221929	1.126406571	1.107459741	0.152486672	-0.763386114	0.18064304	-0.680870202	-0.600367062	-0.704143735	1.210488278	3.087116436	0.388522157	1.560849811	-0.296987459	-1.629062313	1.362859278	0.020354453
ENSMUSG00000003665	Has1	-0.915027928	-0.451435674	-1.260095425	-0.695248251	-2.294449408	-0.573951832	-1.033188798	-0.098220009	0.754075675	0.544430512	0.349187722	0.710239748	-0.16197721	-0.23561816	-1.23750471	0.275775518	-0.069604819	-0.601772856	-0.356615326	0.239392647	0.593214573	0.02590809	-0.396354563	-1.38287055	-0.911077409	0.444457454	0.410108229	0.690680986	2.17485633	-0.243875777	0.750441562	2.489503439	-1.051526109	1.741057738	1.137017626	0.640066965
ENSMUSG00000003680	Taf6l	-0.233309862	-1.18598014	-0.698974134	-1.007993717	0.470343991	0.196797183	-1.074508647	-1.197607362	-0.289853533	-0.615049799	-1.780485423	-0.20244422	0.052149931	-0.391081978	-0.003734281	-0.375360122	-0.444504539	-1.021099633	0.66452706	-0.045882895	0.10790755	-0.699742446	-0.751327625	3.665441425	1.174024924	0.585509876	0.568929444	0.87281566	0.626091328	1.118388654	0.669382038	1.656378827	0.819472825	-0.78669502	-0.198551173	-0.243974166
ENSMUSG00000003873	Bax	-0.731151442	-1.012973483	-1.666375478	-1.220203369	-0.444723911	-0.662966157	-0.653925527	-1.149892938	-1.127355104	-0.387609211	0.429881154	-0.312836229	-1.98735513	0.600074729	0.438216213	-0.52352481	0.197956009	-0.189617183	0.581444065	0.436040282	0.885592667	2.223367656	1.365781619	1.236312049	0.028595645	-0.189347152	-0.734557773	-0.304253046	0.732618848	1.137099595	-0.601193767	2.689624253	0.032993657	0.453598767	0.522221425	-0.091556923
