ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC006_T2_F_AMR_R1	SC007_T2_F_AMR_R2	SC008_T2_F_AMR_R3	SC009_T2_F_AMR_R4	SC010_T2_F_AMR_R5	SC006_T2_F_AMD_R1	SC007_T2_F_AMD_R2	SC008_T2_F_AMD_R3	SC009_T2_F_AMD_R4	SC010_T2_F_AMD_R5
ENSMUSG00000003541	Ier3	-0.142361003	-0.189345033	-0.583324883	-0.590540806	0.049226809	-1.635919026	-0.7709832	-0.705034997	-1.079731091	-0.795878999	-0.093420106	1.911973248	-0.177121379	0.393667329	-0.743927733	0.654275284	2.433334573	0.659580516	1.207417542	0.198112954
ENSMUSG00000003665	Has1	-0.501708746	-0.948653716	0.089467602	-0.015001706	-0.506433665	-1.180221971	-0.327067411	-0.190434262	-2.611838523	-1.224677185	0.207483998	1.187282002	-0.172889204	0.528647771	0.544642364	0.501024242	0.96186225	1.104833092	1.346667624	1.207015445
ENSMUSG00000004040	Stat3	-0.559158898	-0.578614832	-1.048567634	-0.861355465	-0.719532681	-0.309627102	-0.228553471	-1.296810444	-0.881950998	-0.389207275	-0.543367937	1.682819932	-0.215488281	1.270509096	-0.072434067	-0.088871619	1.430081561	1.509012291	2.023864056	-0.122746232
ENSMUSG00000004535	Tax1bp1	-0.801546831	-0.500274817	-1.23741939	-1.462867466	-1.368916893	-0.57455128	-1.586977573	0.258061832	-0.075103127	0.27142534	0.125923244	1.593145597	1.2754473	0.660208239	-0.021846663	0.033251524	1.468152235	-0.354414356	1.265854111	1.032448973
ENSMUSG00000004609	Cd33	-1.733077592	-1.222862107	-1.263610132	-1.031560236	-0.892475371	-0.53316717	-0.678932905	0.464972908	-0.536939332	1.008190343	0.521964361	0.89561781	1.314455062	1.113336449	0.957790085	0.254182328	-0.270202662	0.418321306	1.78360102	-0.569604166
ENSMUSG00000004707	Ly9	-0.476195622	-0.48662356	-0.789376865	-0.941097579	-0.961602288	-0.779428352	-1.070186818	-0.325217407	0.328073852	-1.192973989	0.419103213	2.318366103	0.733809358	-0.066415274	-0.007340443	0.551930304	2.424476589	-0.407319173	0.306807767	0.421210183
ENSMUSG00000004952	Rasa4	-0.703642886	-0.578975579	-0.597114677	-0.632128773	-0.616923959	-1.14785882	-1.093920658	-1.138259322	-0.943926582	-1.339646356	0.192995298	1.411931937	0.381442929	0.895514069	0.412508533	0.323752805	1.937063647	1.080668139	1.217630957	0.938889296
ENSMUSG00000005667	Mthfd2	-0.097739485	-0.836777822	-0.056926675	0.094060387	-0.849356768	-0.68027904	-1.112541584	-0.640945781	-0.483558595	-0.66586398	0.168818328	1.536608842	-0.015705162	-0.252170549	-1.362434848	-0.051191495	2.753462504	0.646356039	1.518670089	0.387515594
ENSMUSG00000006262	Mob1b	-0.798638796	-0.82803879	-1.362056252	-0.779966989	-1.095557433	-0.557478695	-1.358270286	0.120239138	-1.180689469	-0.736540374	0.618810302	1.356140766	1.324482163	0.800716962	1.056485443	0.480598007	0.281977747	-0.025939519	1.70250196	0.981224114
ENSMUSG00000006411	Nectin4	-0.241672499	-1.316243942	-0.106019454	-0.498500304	-0.748825742	-1.023868062	-0.848660779	-0.891933851	-0.731779878	-1.465833984	0.267429235	0.740788079	-0.223649853	0.09814524	0.239830253	0.681234633	2.109858754	1.086721925	1.73595058	1.13702965
ENSMUSG00000006418	Rnf114	-0.870087844	-1.030206492	-0.883100616	-0.915525732	-0.950686671	-0.451936077	-0.69509666	-1.114568103	-0.797561144	-0.979798557	-0.137474822	1.312402683	0.495929411	1.082039333	0.808380941	-0.104894802	1.875146336	1.104861252	1.264659938	0.987517627
ENSMUSG00000006527	Sfmbt1	-1.018163155	-1.012399278	-0.532423937	-0.975169856	-1.274728047	-1.29101527	-0.720769418	-0.01464527	-0.327499221	0.136394095	-0.522485532	2.044819375	0.76299072	0.093449959	0.326025915	-0.08799991	1.472447784	0.089178724	1.852926132	0.999066192
ENSMUSG00000007617	Homer1	-0.533201422	-0.57317499	-1.329864749	-1.025726551	-0.125695588	-1.222908084	-0.87479356	-0.3924887	-1.516231086	1.024480297	-0.381829265	0.586755387	1.067800959	1.461004668	1.054737972	0.589909289	-0.04028037	-0.601874086	1.720178253	1.113201629
ENSMUSG00000008200	Fnbp4	-0.805760188	-0.913468835	-0.701640443	-1.249858151	0.048347081	-1.208198591	-0.713550974	-0.651252157	-0.495640019	-0.175965018	-1.260638596	0.082531679	0.954899599	0.956947119	0.88557012	-0.007901856	0.646823421	1.240050381	2.374207579	0.99449785
ENSMUSG00000009035	Tmem184b	-0.753663263	-0.453054256	-0.879074695	-0.841652109	-0.759402906	0.470056108	-0.637234707	-1.283574079	-0.770892002	-0.973282857	-0.133758511	1.982041136	0.372094853	-0.41864733	0.109181817	0.164168691	2.234094595	1.484191287	0.909897745	0.178510485
ENSMUSG00000009376	Met	-1.137827102	-0.234946952	-0.609522363	-0.952007446	0.024992988	-1.044867727	-0.987252426	-1.01707012	-0.654987617	-0.645367515	0.239068784	2.313335655	0.381473879	0.98295212	-0.155621781	0.349584749	2.325453691	0.02058434	0.520871605	0.281153238
ENSMUSG00000009585	Apobec3	-0.820706095	-0.698623222	-0.569067981	-0.676568601	-1.030674362	-0.981260534	-0.758862205	-1.199983936	-0.508653599	-0.575327918	-0.2016278	1.504631588	0.131036861	0.208345523	0.089247661	0.469147491	2.54246735	0.743868508	1.384051507	0.948559764
ENSMUSG00000010021	Kif19a	-0.949303404	0.549398303	-1.244994041	-0.943381758	-1.942121991	0.060186078	-1.005347058	-1.612201854	-0.296301648	0.168902468	0.672293235	0.873327751	0.510231247	0.459692778	0.174183956	0.473040639	1.919030769	0.021271154	1.081182565	1.030910811
ENSMUSG00000010358	Ifi35	-0.815622249	-0.888037368	-1.299124784	-0.882611641	-1.10239421	-0.718443364	-0.583606457	-0.740755341	-0.634965076	-1.199937222	-0.077422504	1.190333774	0.711302831	1.247452266	0.684960273	0.126117772	1.802736083	0.940142115	1.160827326	1.079047777
ENSMUSG00000011008	Mcoln2	-0.45206653	-0.583208956	0.47037754	-0.410224755	-0.280709197	-1.834837269	-0.342890429	-1.959022428	-0.345066213	-1.393618909	0.735956504	0.406150063	0.196851394	0.50154725	-0.20278923	1.376577723	2.003999301	0.407319649	0.721639453	0.984015039
ENSMUSG00000011114	Tbrg1	-0.90843949	-0.76689934	-0.554396847	-0.711509829	-0.689826362	-0.452179213	-0.767235988	-0.769738824	0.079673752	-0.866878363	-0.235410568	1.718938691	1.565743044	1.487650602	-0.124858999	-0.331213733	2.45871888	-0.454934426	0.004521889	0.318275124
ENSMUSG00000012519	Mlkl	-0.700109391	-0.696547312	-1.03088008	-1.001518176	-0.889726633	-0.770740602	-0.821809473	-1.051697578	-0.996929163	-0.956943186	0.218708398	1.415225077	0.591160731	0.959143001	0.165200573	0.383790463	1.964914014	0.918180841	1.286731957	1.013846538
ENSMUSG00000014599	Csf1	-0.142236222	-0.401044988	-1.608207793	-1.336948056	-0.218339404	-0.719315471	-0.850982272	-0.834356677	-1.098264659	-1.268234938	0.315290594	1.614163746	0.646329678	0.941623413	0.249929488	0.499651004	1.551675909	0.860976237	1.427258722	0.371031688
ENSMUSG00000014773	Dll1	-0.546050657	-1.460041616	-0.856793096	-0.658080329	-0.280189748	-1.900397836	-1.042921746	-0.079194955	-1.281818143	-0.314726593	0.232303273	1.353787645	0.759006467	0.001193164	1.284358259	0.967672424	0.949170365	1.237441591	0.646127502	0.989154029
ENSMUSG00000015312	Gadd45b	-0.390509629	-0.58558834	-0.933769972	-1.043950209	-0.406757138	-0.888573033	-0.730427225	-0.819512754	-1.351664453	-1.17632891	-0.040364681	1.376213569	-0.033262646	1.14801775	0.318172474	0.534074995	2.085732746	0.764666893	1.456418228	0.717412336
ENSMUSG00000015314	Slamf6	-0.955849507	-0.450936446	-0.665927041	-0.732645425	-0.833098384	-1.08228982	-1.130163255	-0.4356551	-0.630112017	-0.641978232	-0.334089204	2.010426053	0.480969749	0.186895009	0.195624118	1.023709699	2.3331233	-0.179117903	1.126463723	0.714650684
ENSMUSG00000015340	Cybb	0.065770564	-0.239974035	-0.19593751	-0.191794851	-0.516916805	-1.301091492	-1.020024581	-0.380214604	-1.812932508	-1.324917274	1.223669262	1.802413327	0.54674721	0.467843227	0.561152233	0.650558759	2.06939178	-0.490636655	0.314421129	-0.227527176
ENSMUSG00000015656	Hspa8	-0.742207811	-0.126717176	-1.894378217	-0.781150369	-1.32349334	0.351085442	-0.660158065	0.672537639	-0.998429318	-1.574989643	0.217032046	0.083150382	1.793328092	1.267002001	0.821626536	-0.020948846	0.270674807	0.73855076	0.904126076	1.003359004
ENSMUSG00000015766	Eps8	-0.765003975	-0.588025954	-0.516569858	-0.891182765	-0.965139818	-1.247665102	-1.061358478	-0.345328084	-0.430591097	0.329508582	-0.086292	1.544040512	0.670334621	0.551503465	-0.684764067	0.213478176	2.277410494	1.265125756	1.429826457	-0.699306867
ENSMUSG00000015947	Fcgr1	-0.923701548	-0.507587343	-0.873281471	-0.879992962	-1.262243435	-0.503972445	-1.167418938	-0.705353128	-0.524130712	-1.155882273	-0.332671959	1.081702098	0.687886801	0.742101822	0.414890041	0.279240809	2.036714117	1.207741058	1.30634218	1.079617288
ENSMUSG00000016206	H2-M3	-0.388287778	-0.622352175	-0.625270146	-0.529299746	-0.645022334	-0.451307038	-0.565452854	-1.163156965	-0.924370508	-1.847874193	0.476885883	0.775459356	-0.542877429	1.306507369	-0.165947515	0.853572654	2.228026984	0.981859759	0.872751185	0.97615549
ENSMUSG00000016283	H2-M2	-0.173664575	0.007931463	-0.329214061	-0.486678915	-0.472811584	-0.768053911	-1.550443598	-0.486742156	-0.713590957	-1.321835383	1.333554299	1.83780213	-0.375580117	-0.294672517	0.108805842	1.458376708	2.295978051	0.063843428	-0.297709878	0.164705731
ENSMUSG00000016496	Cd274	-1.048708776	-0.669924723	-0.740413675	-0.797261809	-0.72626097	-0.92723647	-0.863596282	-0.429353196	-0.928156752	-0.775344844	0.200122492	2.294776611	0.915554612	0.211657353	0.341254213	0.3447745	2.340688255	0.614330198	0.330183788	0.312915476
ENSMUSG00000016528	Mapkapk2	-0.172199354	-0.177025969	-0.697559052	-0.455242924	-0.408420576	-0.511137639	-0.795086119	-1.574213756	-0.185195527	-1.578827347	0.127516436	1.703897031	-0.457616168	0.795512416	0.755454289	-0.532382312	2.469876209	-0.000751815	0.968739195	0.724662983
ENSMUSG00000016559	H3f3b	-0.748716189	-0.892783497	-1.058579291	-0.988363909	-1.092859226	-0.802757922	-0.782083334	-0.354054051	-0.142905298	-1.089544404	-0.306508863	0.308626995	0.738231675	1.772158807	1.416632842	-0.483270531	0.985084235	0.603197399	1.295791207	1.622703356
ENSMUSG00000016664	Pacsin2	-0.768590918	-0.770867202	-1.718813366	-1.211170752	-1.17159466	-0.444582741	-0.354759556	-0.18406539	-0.424273756	-0.529099573	-0.079231699	1.121001873	0.511874085	0.178291103	-0.268693543	1.388681921	1.909410923	0.717636818	1.850363515	0.248482918
ENSMUSG00000017132	Cyth1	-0.935644791	-1.472450697	-1.667135152	-0.477636839	0.1311032	-0.09595492	-0.198428645	-0.906700331	-0.901881942	-0.218332361	0.176461993	0.379597317	-1.050175121	0.31011837	1.809783725	0.548665444	0.665951179	0.680204109	1.336324947	1.886130515
ENSMUSG00000017652	Cd40	-1.264282634	-0.567911664	-0.761127059	-0.545571233	-0.889205195	-0.956675721	-0.810078317	-0.751875308	-1.32763459	-0.686017203	0.022722824	1.530593121	0.565649624	0.590216659	0.277277258	0.417045037	2.208449801	1.01329766	1.004139664	0.930987276
ENSMUSG00000017830	Dhx58	-0.813015506	-0.902531063	-0.898490373	-1.000938787	-1.018497628	-1.004789905	-0.888726204	-0.909877449	-0.839311112	-0.886562801	0.04930289	1.277804962	0.7473814	1.057413872	0.805225945	0.224066197	1.681562211	1.066684211	1.277535113	0.975764025
ENSMUSG00000018143	Mafk	-0.040592526	-0.619992076	-1.544823313	-0.183368803	-0.544551432	-0.677647749	0.11030943	-0.9809909	-0.948790144	-1.625101706	-0.324995322	1.126424508	-0.212372688	1.581884278	0.870272542	-0.337244039	2.083535314	0.741242296	0.571956239	0.954846092
ENSMUSG00000018167	Stard3	-0.620517462	-0.425881974	-0.570754366	-0.409333199	-1.100707758	0.081350693	-0.564006096	-0.613667854	-1.476459556	-1.650196284	0.186954347	1.045606495	-0.154163413	0.875606258	0.741726556	-0.3681591	2.329391073	1.510325683	0.829317115	0.353568842
ENSMUSG00000018171	Vmp1	-0.493686039	-0.594119444	-0.705813568	-0.877614484	-0.079910157	-0.655525569	-0.505240078	-0.882998466	-0.457746185	-1.841144611	-0.347399831	-0.473953426	0.849489102	1.791678986	1.486262329	-0.615110864	1.057739603	0.749937564	1.57278886	1.022366277
ENSMUSG00000018500	Adora2b	-0.982582353	0.155001053	-0.23072575	-0.662824248	-0.702120052	-0.546570011	-1.397574347	-0.570932227	-1.498714693	-1.03990423	0.344560273	0.641453588	0.680008986	0.497764224	-0.860698682	0.989791091	2.309260823	0.802745	0.904043068	1.168018487
ENSMUSG00000018666	Cbx1	-0.734326879	-0.579356288	-1.247488244	-0.396229607	-0.547974072	-0.538572501	-0.80237943	-0.375713667	-1.735330248	-0.835738016	0.129875433	0.451513049	-0.220870861	1.348669551	-0.052803118	0.868214444	0.372667563	1.168166854	1.987244042	1.740431996
ENSMUSG00000018707	Dync1h1	-1.381660466	-0.866614775	-0.383192631	-1.511262719	-1.060481233	-0.264680781	0.425992098	-0.693511379	-1.657915451	0.558846438	-0.065576022	1.096231677	0.597089536	0.165338732	-0.001992708	0.495120043	1.433716481	1.440157078	1.738509233	-0.064113149
ENSMUSG00000018899	Irf1	-0.865650529	-0.751778735	-0.806437984	-1.010794466	-0.777235149	-0.975800534	-0.963627092	-0.802794549	-1.143043448	-1.039200158	0.352484944	1.711391531	0.611468144	1.120340136	0.832011826	0.372229275	1.754053048	0.748667313	0.897256452	0.736459976
ENSMUSG00000018920	Cxcl16	-0.36013796	-0.171782051	-0.424848437	-0.103021131	-0.335160418	-0.773433503	-1.529636538	-0.897264811	-1.537140307	-1.179780549	0.433536497	1.247621662	-0.031314607	0.270976363	-0.539866566	0.820811764	2.383908387	0.675553771	1.105604336	0.945374099
ENSMUSG00000018930	Ccl4	-0.719609202	-0.345817945	-0.690725007	-0.394807539	-0.75275244	-1.071353319	-1.208221666	-0.891514731	-1.332688362	-0.715567156	-0.551515803	1.330283999	0.222761169	0.608860079	0.014148557	0.849452981	1.863430333	1.215874022	1.329501862	1.240260167
ENSMUSG00000018986	Slfn3	-0.869207542	-0.72747736	-1.178479761	-0.560764865	-0.773801399	-0.712817221	-1.33603609	-0.951035288	-0.618343713	-1.377383455	0.416240828	1.079789735	0.862046557	1.008461192	0.303154469	0.527632223	1.552371697	0.980315888	1.558146041	0.817188064
ENSMUSG00000019082	Slc25a22	-0.754798627	-0.425062139	-0.639238255	-0.79009675	-0.562838174	-1.282544313	-0.66548224	-1.185366045	-0.837252333	-0.821323965	-0.640961492	1.404382632	0.650261323	0.418547466	0.409167666	-0.036706035	1.875286915	1.377162332	1.657242261	0.849619774
ENSMUSG00000019122	Ccl9	-1.499807767	-0.706039415	-1.05360238	-1.108571995	-1.015006996	-0.655735122	-1.085029624	-0.006700901	-1.022596414	-1.020011078	1.48050239	0.839910735	1.286495694	1.028159502	0.711085397	0.970384439	0.959904399	0.666906579	0.543280964	0.686471593
ENSMUSG00000019132	BC005537	-0.916140947	-0.744611776	-0.666652361	-1.223824987	0.02750586	-1.7550372	-0.48708854	-0.84814165	0.16889732	-0.705933529	-0.174130531	1.327469061	0.670420969	-0.00442381	1.62379709	0.56117838	-0.16958223	0.212607166	2.264466853	0.839224862
ENSMUSG00000019699	Akt3	-1.137681729	-0.815566109	-0.235643593	-0.705880969	-0.633745795	-1.379812395	-0.840278315	-0.926538889	-0.753681843	-0.506497878	-0.273388784	1.099790046	-0.135143401	0.466200155	-0.155010754	1.106109347	1.868615403	1.276294679	1.733275608	0.948585218
ENSMUSG00000019806	Aig1	-0.751514264	-0.638947441	-0.89874101	-0.519976723	-1.450489542	-0.711195545	-1.332141523	-0.951274537	-0.518247483	-0.158581819	-0.06237683	2.123199143	-0.18784539	0.829133718	0.279709361	0.695351378	1.710194525	0.455789983	1.402612339	0.685341663
ENSMUSG00000019850	Tnfaip3	-0.968357024	-1.11993326	-0.63924914	-0.969581942	-0.14238898	-0.968915893	-1.025289809	-1.190797121	-0.939010452	-0.057720086	-0.011360232	1.633080446	0.475823544	1.405853916	-0.015496179	0.390408672	1.814547232	0.366048758	1.60222147	0.360116079
ENSMUSG00000019866	Crybg1	-0.102985887	-0.898202389	-0.265842534	-1.356428946	-0.499732391	-1.213395872	-0.341682965	-0.366294814	-1.962984785	-0.211949825	0.422704031	2.065237306	0.191950889	0.385327577	0.340427657	-0.226458067	1.339429393	0.46731489	1.857592539	0.375974193
ENSMUSG00000019942	Cdk1	-0.874839427	-0.650673877	-0.42816361	-0.666844928	-1.595524702	0.152489077	-0.100533821	-0.390385389	-0.32099636	-1.299083897	-0.393376599	0.773231053	-0.632939471	1.747559536	-0.665113534	0.624588491	1.584878166	1.683642219	1.507290154	-0.055203082
ENSMUSG00000019960	Dusp6	-0.943817711	-0.301655526	-0.579144724	-0.110441653	0.210830602	-1.063923866	-0.752347523	-1.252120286	-2.107103513	-0.949050194	0.604648977	1.173599303	0.615680245	0.093481046	-0.296728564	1.311480628	1.462501573	1.247899991	0.665979913	0.970231281
ENSMUSG00000019990	Pde7b	-0.990255252	-0.990255252	-0.990255252	-0.990255252	-0.221322761	-0.636115364	-0.144599623	-0.990255252	-0.990255252	-0.990255252	-0.109573318	0.88964474	0.218994421	1.086848256	-0.325730423	0.275702351	1.911941654	1.470282246	1.739926592	0.775787992
ENSMUSG00000020024	Cep83	-0.615474159	-1.361523028	-0.607444866	-0.554493377	0.428943427	-1.700502729	-1.520777076	-0.020522509	-0.93265974	-0.423864946	0.787691277	-0.448015828	2.123637454	0.845983891	0.200321432	0.615798553	0.97950144	0.692717941	1.305883464	0.20479938
ENSMUSG00000020057	Dram1	-0.600321553	-0.912717797	-0.673609172	-0.86360138	-0.911384079	-0.87157809	-0.725169301	-0.850013997	-0.938637676	-0.819682162	0.492148948	1.739277707	0.2424225	0.291629623	0.374392037	0.450149716	2.624975766	0.230952296	0.996667275	0.724099339
