ensembl_gene_id	gene_name	AT01_AT2Y_F0_D0_R1	AT02_AT2Y_F0_D0_R2	AT03_AT2Y_F0_D0_R3	AT04_AT2Y_F0_D0_R4	AT05_AT2RY_F0_D0_R1	AT06_AT2RY_F0_D0_R2	AT07_AT2RY_F0_D0_R3	AT08_AT2RY_F0_D0_R4	AT13_AT2RO_F0_D0_R1	AT14_AT2RO_F0_D0_R2	AT15_AT2RO_F0_D0_R3	AT16_AT2RO_F0_D0_R4	AT09_AT2O_F0_D0_R1	AT10_AT2O_F0_D0_R2	AT11_AT2O_F0_D0_R3	AT12_AT2O_F0_D0_R4
ENSMUSG00000003153	Slc2a3	-0.038412441	-1.167118236	-0.623442773	-1.149189999	-1.171801302	-0.754317942	-0.918778374	-1.369308461	1.420327319	0.910655822	0.514851433	1.33719787	0.876360467	0.880343983	0.764910032	0.487722603
ENSMUSG00000003228	Grk5	-1.568909736	-0.301899766	-0.815764991	-1.026769096	-1.378714679	-0.580501113	-1.210476447	0.51758007	-0.079790732	0.931420251	0.774054664	0.778313695	0.495040907	1.372785738	0.624572633	1.469058602
ENSMUSG00000003355	Fkbp11	-0.283470132	-1.685997287	0.210285531	-1.173997311	-0.812832764	-0.636487569	-0.479781169	-0.861456208	1.474168058	0.510748613	-0.319936854	1.608483725	-0.58674876	1.169870456	0.797848012	1.069303657
ENSMUSG00000003420	Fcgrt	0.47376607	1.611561083	-0.565890614	-0.119914472	-1.251114788	-0.509564925	-1.401271695	-1.43889401	-0.186008129	0.155674261	0.310966731	-0.65465516	1.786593847	1.339844506	0.620000749	-0.171093453
ENSMUSG00000003429	Rps11	0.499145036	0.24494111	0.065997027	0.63840369	-0.914823249	-1.332099818	-1.473849113	-1.343198014	0.608034117	-0.061209245	-0.549020426	-0.284396073	1.578352046	1.458821762	1.417843863	-0.552942713
ENSMUSG00000003617	Cp	-0.812623985	-1.198043958	-0.768793037	-0.805949645	-0.175622595	-0.550689659	-0.858516801	-0.523839629	2.916466719	0.979146315	0.247490412	0.559318154	0.315756035	-0.048061346	0.12166194	0.602301082
ENSMUSG00000003721	Insig2	-1.42623728	-0.325786686	-0.968672916	-0.965975888	-0.579696807	-1.021434159	-1.296640988	-0.542766676	0.499685368	1.130395329	0.8904681	1.785137845	0.787877847	0.935384751	0.432708722	0.665553437
ENSMUSG00000003814	Calr	-0.647314724	-0.896784915	-1.212378228	-0.74391267	-0.143893436	-1.084006121	0.103218734	-0.662549991	2.179811919	0.391649371	-0.847581964	0.886796484	1.08413213	0.459560124	-0.347061033	1.480314319
ENSMUSG00000003948	Mmd	-0.666043464	-0.54174848	-0.898930193	-0.4046832	-0.930445247	-0.707432417	-0.204036613	-1.694344288	1.991684569	0.866943801	0.861754197	1.525976601	-0.008132889	-0.426383744	0.245548028	0.990273339
ENSMUSG00000004207	Psap	-0.922838006	-0.447044077	-0.810565854	-0.148132043	-1.24358706	-0.788435654	-1.353658263	-0.882083341	1.747188302	0.386179728	-0.124464426	0.064792362	1.106514531	1.351657097	1.240907589	0.823569114
ENSMUSG00000005089	Slc1a2	-1.583426634	-0.713388011	-0.17615251	-0.994016593	-1.293988711	-1.204552602	-0.306304671	-0.51134719	-0.053132501	0.6361091	1.589187675	0.835454413	1.275342006	0.539026507	1.061055791	0.900133932
ENSMUSG00000005540	Fcer2a	-0.785937875	-1.208497528	-1.242887305	-0.0707083	-0.337398242	-0.322039259	0.29758246	-0.503959278	2.328079664	1.033175583	-0.103714064	1.123400972	-0.037245794	-1.480256365	0.673498228	0.636907102
ENSMUSG00000005686	Ampd3	-0.326168273	-0.559920794	-0.760196835	-0.411888139	-1.503648207	-0.351950074	-0.100719744	-0.463853256	1.680315406	0.501701761	0.396150849	2.179546036	-1.034594272	-0.176502151	-0.457256757	1.388984451
ENSMUSG00000005803	Sqor	-0.57150749	0.459199157	0.334220259	0.499827829	-1.128244613	-0.832468607	-1.422409859	-1.797400861	0.20087134	1.371910418	0.256870407	0.79552081	1.060312019	1.291643595	0.557184417	-1.075528822
ENSMUSG00000005907	Pex1	-1.74325946	-0.86083763	-1.355684716	-0.631833899	-0.388225179	-0.458333088	-0.782762869	0.531892098	0.500180611	0.678782967	0.432877049	1.04571152	-0.559221	0.902867678	0.638757415	2.049088503
ENSMUSG00000005981	Trap1	-0.765295331	-0.791358848	-1.175992385	-0.50518788	-0.155666596	-0.616768157	-1.5382488	-1.445504986	0.860243336	0.787524768	0.214446814	1.40459248	0.422781503	0.878293371	1.120150741	1.305989972
ENSMUSG00000006333	Rps9	0.549757202	0.13053128	0.557605173	1.318458639	-0.091294461	-1.55814854	-1.575229224	-1.068931544	0.407980394	0.120794917	-0.83619631	-0.854477019	1.275732746	1.331750918	1.016856709	-0.725190879
ENSMUSG00000006390	Elovl1	0.065704545	0.046117031	-0.046460809	0.181049814	-1.474285006	-1.459989092	-0.290681561	-2.210579617	0.731173672	0.280859465	-0.393051414	0.248760763	0.723392777	1.273652637	1.215781951	1.108554844
ENSMUSG00000006731	B4galnt1	-0.74988396	-0.902156593	-0.859863443	-0.404244408	-1.347243457	-0.823187794	-0.568700324	-0.526570691	2.25820677	1.334701012	-0.252166732	1.201534991	-0.218148616	0.600087228	0.771808117	0.485827898
ENSMUSG00000006818	Sod2	-0.537823428	-0.435189137	-1.480793934	-0.357928375	-0.663042441	-1.158904499	-0.186808961	-0.590092521	2.853583775	-0.0556986	0.009766842	0.868662368	0.596317222	-0.068087995	0.450552089	0.755487594
ENSMUSG00000006958	Chrd	-0.40245318	-0.967622713	0.254598609	-0.948302452	-1.473935953	-0.451576602	-0.998304015	-1.069240643	0.212595877	1.4861118	0.103188445	1.958192545	-0.118642984	0.357541191	0.851205967	1.206644109
ENSMUSG00000007029	Vars	-0.922072635	-1.010045546	-0.873952717	-0.276860968	-0.078977847	-0.621747573	-0.642072245	-1.117802816	2.47093153	1.315743443	-0.402227962	0.9653598	-0.313886305	0.792444974	0.758819943	-0.043653076
ENSMUSG00000007891	Ctsd	-0.405487833	0.012698863	-0.523091985	-0.340577165	-0.493600142	-1.265656943	-1.189564326	-1.327160359	1.694140229	0.391455822	-0.893510285	-0.092191359	1.693081384	1.051377036	0.530269757	1.157817306
ENSMUSG00000008035	Mid1ip1	-0.530871853	-0.557705954	-1.499354911	-0.143898036	-0.717255466	-0.917563817	-0.659216043	-1.493522216	1.620422122	0.449448999	0.690254002	-0.398399747	1.131543896	0.848846877	1.464587782	0.712684365
ENSMUSG00000008193	Spib	-0.950854639	-0.400549188	-0.950854639	-0.950854639	-0.950854639	-0.650288989	-0.635943105	-0.950854639	1.967938704	0.820013658	0.231748559	1.267728563	-0.08906598	-0.066717684	0.604013033	1.705395625
ENSMUSG00000008348	Ubc	-1.795876082	-1.199318401	-1.723000161	-0.041314811	-1.07717502	-0.163482287	-0.528667712	1.078674963	0.834214892	0.916325852	0.0778564	0.652342432	0.467079211	0.740877794	0.406206568	1.355256361
ENSMUSG00000008668	Rps18	0.349435607	0.105577252	0.209511221	1.010797403	-0.425849204	-1.171926582	-1.868650857	-1.245144621	0.869722249	0.536845761	-0.871347322	-0.219744407	1.1343915	1.472629153	1.028996987	-0.915244137
ENSMUSG00000009545	Kcnq1	-0.792653453	-0.246600783	-1.554441487	-0.832484451	-0.840761927	-0.094811252	-0.433679878	-1.335256305	1.836524952	0.708996332	-0.104478913	1.378022142	0.291653884	0.071675608	0.365368355	1.582927177
ENSMUSG00000009927	Rps25	0.546002848	-0.260320223	0.549286666	0.8111103	-0.287622251	-0.983825684	-1.726938654	-1.727925821	0.112629478	0.491379431	-0.214553031	0.158521757	1.434803881	1.518848698	0.75784699	-1.179244383
ENSMUSG00000010095	Slc3a2	-1.107887893	-0.356844833	-0.880767667	-0.25339182	0.463837487	0.043328147	-1.545506058	-0.304778335	-0.253968876	0.215775962	-1.33265795	0.519047088	1.883245289	1.091355	1.792188672	0.027025786
ENSMUSG00000011034	Slc5a1	-1.407181168	-0.143825414	-1.788386871	-0.610044741	-0.732798652	-0.236649058	-0.016954261	-0.833596036	1.821103427	0.649916473	-0.159342846	1.671003285	0.078033058	0.36911627	0.148052971	1.191553562
ENSMUSG00000012848	Rps5	0.838291399	0.485963126	0.110677494	1.40358597	-0.408827934	-1.349838401	-1.743182968	-1.271343041	0.718648042	0.285312384	-0.819963273	-0.448493233	0.954441304	1.313336707	0.779665249	-0.848272827
ENSMUSG00000013275	Slc41a1	-0.794728736	0.135906809	-0.683497318	-0.248049968	-2.42153675	-0.535886437	-0.119946857	-1.268250919	0.87127791	-0.227638524	1.400889759	0.900279536	0.49326174	0.537243527	0.911880747	1.048795479
ENSMUSG00000013584	Aldh1a2	-0.006591273	-0.618682172	-0.324652062	0.458982754	-0.578633205	-1.589143463	0.017557372	-1.100667385	-1.080885759	0.494442277	0.574260032	-0.605345592	0.644756188	2.673618365	0.435698159	0.605285765
ENSMUSG00000013593	Ndufs2	-0.181275427	0.056652411	0.366991288	0.307667796	-0.388897201	-1.732380835	-1.036470338	-1.694796048	1.033198135	0.751665413	-0.594223988	-0.470822842	1.213520319	1.563408366	1.173212255	-0.367449306
ENSMUSG00000014077	Chp1	-0.261347977	-0.817405018	-1.015055524	0.047762403	-1.754071725	-1.5409402	-0.163097015	-1.098900192	0.6021176	1.195978621	0.311806269	0.72481801	1.556401638	0.74882163	0.927155408	0.535956076
ENSMUSG00000014226	Cacybp	-1.573560178	-1.675119113	-1.03720609	-0.464432685	-0.18606555	-0.616013115	-0.752409255	1.38550428	0.890014712	0.725600869	-0.020120879	1.216785299	0.387168641	1.012924813	-0.453124885	1.160053134
ENSMUSG00000014602	Kif1a	-0.259707963	-0.665303003	0.217394446	-0.112781713	-0.891383409	-0.440415091	-1.683870159	-1.238814574	1.161163882	1.229340119	-0.38171445	2.004536215	-0.596059523	0.052857601	0.353948725	1.250808899
ENSMUSG00000014773	Dll1	0.10863916	-1.400692782	-2.049254661	-0.568882211	-0.679017133	-0.382690579	-0.611702726	-0.391730082	1.93101068	1.327558642	0.915293199	0.889181504	0.328390075	0.320399963	0.091714005	0.171782946
ENSMUSG00000014905	Dnajb9	-0.816066042	-2.018576406	-0.664102466	-0.28132438	-0.270984004	-1.191962454	-1.105365388	0.253835289	0.506260731	1.473542641	-0.354746454	1.370051031	1.061468299	0.672381968	0.590603184	0.774984453
ENSMUSG00000015340	Cybb	-1.45474803	-0.410510808	-1.45474803	-0.985503804	0.49066623	-0.711183505	0.459921045	-1.026226232	1.898983522	0.296108776	0.569390842	0.922118694	0.892677907	-0.861064722	0.322544138	1.051573977
ENSMUSG00000015405	Ace2	-0.040992276	-0.022310157	-1.220331249	0.085963639	-0.347092517	-1.177070092	-1.384321301	-0.954528642	1.02684719	0.08069547	0.576822114	0.265078419	1.961143194	1.496691268	0.709209552	-1.055804612
ENSMUSG00000016206	H2-M3	-0.80865296	-0.708227391	-1.888532318	-0.670740691	-0.680699332	-0.692878565	-0.432360999	0.301199029	2.444393735	0.445297918	0.501517956	0.624328077	-0.412213029	0.221555736	1.003513288	0.752499547
ENSMUSG00000016496	Cd274	-0.916424894	-1.117760448	-0.434355891	-1.103989	0.534025634	-0.286799246	-0.52171924	-0.295927616	2.855796562	0.555191691	0.405779602	0.757637629	0.317494869	-0.85462271	-0.554151482	0.65982454
ENSMUSG00000016552	Foxred2	-1.738724088	-0.903225217	-0.787845952	-0.43474803	-1.093293874	-0.633625922	-0.802299734	-0.524269734	0.859624443	0.81631734	0.912890357	1.186065475	0.60918024	1.808688842	-0.014917911	0.740183764
ENSMUSG00000017002	Slpi	-1.644584996	-1.119416635	-0.060359838	-0.689625368	-0.424764812	-0.956167739	0.004665792	-0.432961204	2.310026353	0.835449489	-0.809796398	1.370812393	0.553719578	0.320507758	0.255519329	0.4869763
ENSMUSG00000017830	Dhx58	-1.609215198	-0.105091434	-0.517151032	-0.073461152	-0.07212431	-0.374959326	-0.044460744	-1.276317661	2.394700854	0.48231295	0.542465781	1.544169213	0.365850877	-0.788412546	-0.881740323	0.413434051
ENSMUSG00000018102	Hist1h2bc	-0.294230334	-0.656017838	-0.788445542	-0.78253939	-1.156555278	-1.418180664	-0.331302209	-0.81475926	0.479407197	0.618729026	0.205166702	1.869978212	0.599841625	1.840674431	-0.403450368	1.031683688
ENSMUSG00000018171	Vmp1	-0.565459404	-0.937591479	-1.400500568	0.321071754	-0.684951349	-1.15888879	-1.089027017	-0.665458205	1.660147278	0.195538324	-0.471959336	1.433081141	0.444978917	1.316137389	0.872375026	0.730506318
ENSMUSG00000018339	Gpx3	-1.736060029	-0.780237021	-0.940131005	-0.941900341	-0.878832995	-0.863292195	-0.065628128	-0.139306435	1.567094145	0.737099702	-0.15071298	1.305933387	0.278982383	1.4167412	0.073417442	1.116832872
ENSMUSG00000018740	Slc25a35	-0.515601802	-0.313802078	-1.37441121	-1.656822747	-1.115022466	-0.966823193	-0.82014293	0.479869394	1.152885203	0.958523913	0.381627407	0.020117409	0.567733575	1.385121708	0.344655206	1.472092612
ENSMUSG00000018900	Slc22a5	-0.114806042	-0.504261748	-0.823747546	-0.234093657	-1.036498957	-0.093760449	-0.911444836	-0.801380351	-0.349291055	1.749527193	1.540613532	1.614745384	-0.921503761	0.037627935	1.441242003	-0.592967644
ENSMUSG00000019066	Rab3d	1.319826514	1.07606606	0.900418848	0.637059526	-0.223395069	-1.575359045	-0.95399266	-2.058587339	-0.029497178	-0.108646438	-0.539669597	-0.712026506	0.197176742	1.369794568	0.691222281	0.009609293
ENSMUSG00000019139	Isyna1	-1.263835375	-0.715165563	-1.09077302	-0.631246674	-0.878159416	-0.697569808	0.409793325	-0.44834637	1.938622229	1.074947011	-0.15912842	1.440099903	0.691584791	-0.850901824	-0.028302478	1.20838169
ENSMUSG00000019359	Gdpd2	-0.225749163	-0.573595258	-1.747249447	-0.119506294	-1.114871211	-1.007113428	-0.61901336	-0.658804848	1.569965713	1.342594895	-0.174853468	1.407845358	0.944376887	0.978592338	-0.419039528	0.416420814
ENSMUSG00000019505	Ubb	0.098118021	-0.505078072	-0.575243597	0.183779253	-1.326082702	-1.35200606	-1.35996051	-0.740960648	1.745283297	0.540164579	-0.519583121	-0.41064709	1.057154153	1.300558623	1.108396483	0.756107392
ENSMUSG00000019590	Cyb561	-0.827377576	-0.575845826	-0.760437751	-0.460805505	-0.136737737	-1.707016966	-0.642465035	-0.938667367	2.189538254	1.102258622	-0.429732051	0.793879983	0.111329866	0.249902636	0.976745933	1.055430522
ENSMUSG00000019893	Ros1	-0.134381257	-0.70478951	-0.906380564	-1.493261479	-0.627660131	-0.48016584	-1.767161692	-0.181103078	1.555994263	0.453088681	0.543037412	-0.47859435	1.104786153	1.032016374	1.192281142	0.892293875
ENSMUSG00000019894	Slc6a15	-0.059165341	-0.290517302	0.307615176	-0.941325863	-1.63324507	-0.966441982	-0.622952696	-0.895682182	-1.143390494	1.545911087	1.368303452	0.514739429	0.939238943	1.497068944	0.424060426	-0.044216527
ENSMUSG00000019987	Arg1	0.505812101	-0.132979763	-0.641665236	0.849894724	-1.281684744	-0.848890719	-1.112961822	-1.243318227	-0.220623013	-0.80606639	-0.154411739	0.514859882	0.259477653	1.153506725	2.310795355	0.848255213
ENSMUSG00000020080	Hkdc1	-0.900676102	-0.978879004	-1.166791187	-0.987850361	-0.972846474	-0.319305175	-0.418619831	-0.953443681	1.050156038	1.328616592	0.55222674	1.856911944	-0.172213232	0.462042156	0.270386554	1.350285022
ENSMUSG00000020098	Pcbd1	-0.116605528	0.813925089	1.263746552	0.55838268	-0.229894021	-1.851572612	-0.285534517	-2.230900766	0.114942757	-0.355788578	-0.435441286	-0.664282061	0.656947209	1.073058647	1.062868096	0.626148339
ENSMUSG00000020261	Slc36a1	-0.954931792	-1.277245802	-0.03967252	-1.821728227	-0.533352707	0.221212058	-1.608001385	0.578616713	0.945354677	0.558727384	1.477842894	1.009909637	0.531346589	0.018700471	-0.182358238	1.075580248
ENSMUSG00000020264	Slc36a2	-1.19010036	-0.144908201	-0.281226472	-2.140306816	-0.045012163	-0.368841229	-0.760106297	-0.255509925	-0.809750016	-0.511255688	1.248762298	1.274017478	0.889669349	0.92642603	1.18833603	0.979805983
ENSMUSG00000020267	Hint1	-0.477062149	-1.367206609	-0.301479493	0.21529373	-0.266602521	-1.365913042	-0.718340421	-1.352295365	2.031791514	1.170753688	-0.671811205	0.87985151	0.276976113	0.893648562	0.933017015	0.119378672
ENSMUSG00000020272	Stk10	-1.305406802	-2.085649856	-1.044675728	-0.26624192	-0.019875948	-0.264217578	-1.174194042	-0.344060883	0.702690443	0.578042496	0.967131433	1.396832517	0.145234463	1.005440884	0.784552229	0.924398293
ENSMUSG00000020326	Ccng1	-0.949113965	-0.52266768	-1.030667679	-1.378922891	-1.29400193	-0.423492244	-0.063505834	-0.508147887	1.160872156	0.716006667	-0.51714184	1.452723034	1.878716952	0.423922644	0.179939187	0.875481309
ENSMUSG00000020372	Rack1	1.043082451	0.433711151	0.019630412	1.280997907	-0.20693022	-1.00350144	-1.453655339	-1.437213984	-0.347722914	-0.093201487	-0.845119889	-0.207442244	1.246283676	1.505256311	1.068759267	-1.002933657
ENSMUSG00000020460	Rps27a	0.132247363	0.116450303	0.067989298	1.150747519	-0.631228929	-1.617211967	-1.469891918	-1.207197155	0.712543338	0.198827519	-0.223638525	-0.347629906	1.137829251	1.646870935	1.222080791	-0.888787918
ENSMUSG00000020473	Aebp1	-0.483584722	-1.297211575	-1.045858227	-0.033369856	-1.247391386	-0.18652654	-1.146666559	-1.12937983	1.02516547	0.922036809	0.606547323	1.208187355	0.223782071	1.619731573	-0.203233119	1.167771213
ENSMUSG00000020641	Rsad2	-1.073245915	-1.073245915	-1.073245915	-1.073245915	-0.25444708	-0.592322068	-0.569367755	0.598473964	2.183327033	1.687621386	0.078188781	0.220025899	-0.20433723	-0.411808103	0.462047791	1.095581041
ENSMUSG00000020741	Cluh	-0.113399529	0.258090327	-0.731224935	-1.010675273	-1.092032643	-0.964635511	0.243331728	-2.067262255	-0.750162782	1.083916851	0.081592049	0.877104493	1.055451045	0.952573784	1.128560167	1.048772483
ENSMUSG00000020810	Cygb	-1.685816547	-0.771810286	-0.488923854	-0.467259059	-1.893295433	-0.178002275	-0.005754106	-0.360375828	1.172458136	1.19285552	-0.212717791	0.946741019	-0.11964885	0.26178212	1.561183842	1.048583393
ENSMUSG00000020818	Mfsd11	-1.2782582	-1.871014819	-0.145457813	-0.441709912	0.342397193	0.349374204	-1.288328879	-1.263292743	0.894696446	0.667272847	0.289016428	1.137140442	-0.37765235	1.133396487	1.367119708	0.485300961
ENSMUSG00000020869	Lrrc59	-1.469924216	-1.733130241	-1.426971232	0.116995235	-0.128609893	-0.89515678	-0.242680262	0.206341796	0.958179702	0.851670192	-0.462780012	1.65483367	0.649809128	0.700796874	0.057181761	1.163444277
ENSMUSG00000020886	Dlg4	-2.180987716	-0.785167142	-0.167046651	-0.510883962	-0.029044765	0.471715118	-0.466701328	-1.057093357	1.167741802	1.003993086	0.102742691	2.244398898	-0.452750226	0.267666295	0.252917185	0.13850007
ENSMUSG00000020902	Ntn1	-1.388254471	-1.491137846	-0.31122177	-0.80884433	-1.256387161	-0.730658697	0.404128106	-0.893572624	0.635305381	1.055209838	0.369867875	1.791075489	0.690149253	0.447800029	0.307128451	1.179412478
ENSMUSG00000020937	Plcd3	-0.705578769	-1.369637453	-1.230125866	-0.103560106	-0.77162193	0.909140977	-0.528798218	-0.456523142	1.240398214	1.293220117	0.166896388	1.678407864	-0.24834134	1.282300492	-1.195374863	0.039197635
ENSMUSG00000021125	Arg2	-0.008748577	-1.516483034	-1.067700337	-0.978172151	-0.677907368	-0.589779069	0.142367566	-0.077499912	0.640627948	1.395925097	-0.63880475	2.348610735	-0.226677418	1.177672409	-0.112453928	0.189022789
ENSMUSG00000021250	Fos	-0.052306535	-0.384803485	0.118097545	-0.147707288	-0.967627776	-1.689121837	-1.324829119	0.20512289	-0.445070761	1.056742153	-1.373105154	0.111428438	1.122239708	1.326354625	1.1611551	1.283431496
ENSMUSG00000021275	Tecpr2	-0.412820183	-0.791795997	-2.596069068	-0.538204866	-0.710030611	-0.103348154	-0.309479987	-0.391629689	0.131016897	-0.031009491	1.318990389	1.001168814	0.515402934	0.53886998	0.826478213	1.552460818
ENSMUSG00000021281	Tnfaip2	-0.824449649	-0.272303242	-0.371646185	-0.802429877	0.142865288	-1.235059257	-1.235059257	-0.329538701	2.807851184	0.25456833	0.440793079	0.956341976	-0.093967329	0.147420613	-0.537721556	0.952334582
ENSMUSG00000021390	Ogn	0.502797955	-1.553141324	-0.861622669	0.002212407	-0.350995541	0.118832805	0.174136772	0.110302466	-1.553141324	-0.550462836	0.185859363	-1.038982349	0.933227696	2.325593083	0.995116458	0.560267038
ENSMUSG00000021408	Ripk1	-1.451424566	-0.815905177	-2.339402346	-0.90913398	-0.783294189	0.745097129	0.253053829	0.618053079	0.412982237	-0.138564488	1.229081818	0.884917287	1.033701478	0.651632145	0.579728293	0.029477451
ENSMUSG00000021417	Eci2	0.136575748	1.367496203	0.198404222	0.743045362	-0.981885835	-0.89396863	-1.054735939	-1.828471131	0.647478432	0.786593969	1.190271181	1.048991895	-0.835574124	-1.144785316	0.832015172	-0.211451208
ENSMUSG00000021456	Fbp2	-0.149341018	0.093055754	-0.006784853	-0.492933226	-0.413753419	-1.296079285	-2.675795865	-0.725101354	0.063531612	0.450972339	0.769788333	1.384291282	0.658650205	0.488818283	1.134884353	0.715796862
ENSMUSG00000021556	Golm1	-1.003941284	-0.853970948	-0.627984535	-0.214164332	-1.517024012	-0.593255228	-0.385624351	-0.718167284	1.799748881	0.947644584	0.651161064	1.95074442	-0.412125224	0.002558324	-0.00963925	0.984039174
ENSMUSG00000021876	Rnase4	0.912396908	0.346212052	-0.351600472	0.370873728	-1.205312852	-1.413095913	-1.166414018	-0.885771187	-1.010989365	0.486538254	-0.051500011	-0.602729479	1.198961344	1.843684135	1.294373651	0.234373227
ENSMUSG00000021922	Itih4	-0.929976627	-0.588442174	-1.053184082	-0.962041882	-1.072493633	-0.432861049	-0.257584134	-0.98432105	2.219026173	0.922041909	0.138170613	1.308310747	-0.086330161	0.160509057	0.293729329	1.325446965
ENSMUSG00000022035	Ccdc25	-1.856656173	-0.662713331	-0.186849195	0.050211079	-0.511181884	-0.609128077	0.745303774	-0.702160363	2.127714163	-0.031009686	1.01268833	1.734908453	-0.778214787	-0.297088711	-0.279883664	0.244060073
ENSMUSG00000022181	C6	-0.848923412	-0.675917484	-0.267340835	-0.330949336	-1.543581553	-0.730015543	-0.90100973	-0.2397384	1.269691392	-0.532032305	-0.423758089	-0.119587203	1.004865566	1.897492779	0.921601522	1.519202631
ENSMUSG00000022354	Ndufb9	0.03276397	0.154862613	-1.045017706	1.025354193	-0.619901056	-1.867358429	-0.914329799	-1.827585955	1.078098909	1.465435611	0.464476453	0.012126068	0.573158074	0.510262569	0.803668213	0.153986274
ENSMUSG00000022403	St13	-0.321220393	-1.192359103	-1.044704837	-0.788855587	-0.806745764	-0.941959387	-0.838106253	0.219887012	0.986188515	0.406796636	-0.71941689	0.772731611	0.873211656	1.271893261	-0.075929754	2.198589277
ENSMUSG00000022450	Ndufa6	0.366499576	0.074089337	-0.064834603	0.828628726	-0.711866331	-0.838969126	-1.380527465	-1.479662678	0.72882228	-0.018257238	-1.37459085	0.129547208	1.435181284	1.604554416	1.229717886	-0.528332422
ENSMUSG00000022472	Desi1	-0.564828444	-1.714820423	-0.735423557	-0.587544846	-1.082580545	-0.213746409	-1.027376441	1.024097237	0.899771377	1.717629786	0.862092215	1.441184035	-0.090453524	-0.767185609	0.378174908	0.461010241
ENSMUSG00000022474	Pmm1	1.032956147	0.256360631	0.274576777	0.733481463	-1.006267076	-1.262054778	-1.852325174	-0.460358976	0.443085015	-0.453428965	0.493298961	-1.57928194	1.236953429	0.795787294	1.304192842	0.043024349
ENSMUSG00000022562	Oplah	-0.313645476	-0.276065582	-1.840488898	-0.244296878	-1.379838664	-0.922412289	-0.469659387	-1.223052347	1.228851829	0.827329013	0.567837813	1.669756355	0.562540252	0.942019512	0.532361572	0.338763175
ENSMUSG00000022564	Grina	-0.05797301	-0.203523842	-0.466190721	-0.484106852	-0.468566384	-1.134756274	-1.292715526	-1.234554175	2.078778511	0.631458081	-0.284133878	2.121842527	0.496060427	0.110703571	0.427088238	-0.239410693
ENSMUSG00000022584	Ly6c2	-0.286923754	-0.948252188	-0.770463615	-0.430645112	-1.164719728	-0.93210675	-0.762875634	-1.476048613	0.685335126	1.113564665	0.429788128	0.881231606	-0.115789468	0.771255237	1.979831947	1.026818153
