ensembl_gene_id	gene_name	AT01_AMY_F0_D0_R1	AT02_AMY_F0_D0_R2	AT03_AMY_F0_D0_R3	AT04_AMY_F0_D0_R4	AT05_AMRY_F0_D0_R1	AT07_AMRY_F0_D0_R3	AT08_AMRY_F0_D0_R4	AT05_AMDO_F0_D0_R1	AT06_AMDO_F0_D0_R2	AT07_AMDO_F0_D0_R3	AT08_AMDO_F0_D0_R4	AT14_AMDY_F0_D0_R2	AT15_AMDY_F0_D0_R3	AT16_AMDY_F0_D0_R4	AT13_AMRO_F0_D0_R1	AT14_AMRO_F0_D0_R2	AT16_AMRO_F0_D0_R4	AT10_AMO_F0_D0_R2	AT11_AMO_F0_D0_R3	AT12_AMO_F0_D0_R4
ENSMUSG00000019699	Akt3	-0.701973015	-0.300783228	-1.335122647	-0.514911263	-0.166882743	0.891899201	0.06206147	-1.627823486	-0.712378874	-0.846914645	-0.570238992	-0.399120988	0.91899712	0.82655986	2.416568313	1.325409889	0.740187549	-0.801591979	-0.127000102	0.923058561
ENSMUSG00000019768	Esr1	-0.736926738	-1.772260858	-1.408018529	-1.141837154	1.522593084	0.814199135	0.727183938	-0.414687423	0.256259561	-0.959917024	0.118694804	0.191130341	-1.772260858	0.758260746	1.319206373	0.898196344	0.629932855	0.105033614	0.068642705	0.796575083
ENSMUSG00000019806	Aig1	-1.454567717	-1.17780875	-1.632074272	-1.141164206	0.164266021	0.253416953	-0.561787624	0.808193849	-0.268162446	-0.429681657	-0.060453442	-0.588462808	-0.902301354	1.130935288	2.06424338	0.8150728	1.201661602	1.065573657	0.278097851	0.435002875
ENSMUSG00000020077	Srgn	-0.196851485	-0.126571581	-0.28047007	-0.026208385	-0.591794793	-1.02714638	-0.844393607	-0.7646361	-1.099268964	-0.684230664	-1.562253568	0.743429579	-0.72566191	1.564573685	1.249197221	0.488531418	2.279982734	-0.097980079	0.672640798	1.029112152
ENSMUSG00000020085	Aifm2	-1.778967891	-0.368882617	0.161315285	-0.65800071	-1.370025837	-0.061897878	-1.68088877	-0.552634833	-0.001347952	-0.134931852	-1.120368393	0.384163754	-0.234377963	1.53565776	1.292138392	0.333594643	0.830115505	1.050186153	1.166871196	1.208282008
ENSMUSG00000020385	Clk4	-1.001667474	-1.442645274	-0.232805373	-0.929646961	-0.679168341	-0.568503721	0.08901068	0.230804905	-0.467967706	-0.533641266	-0.543618107	0.158509	1.323408015	0.348423555	0.877524267	0.678246665	3.104420074	-0.087359875	0.351525987	-0.674849052
ENSMUSG00000020638	Cmpk2	-0.585067963	-1.420570974	-0.641065168	-0.01425748	0.946236304	-1.298963726	-0.490589903	-0.116630135	-0.769938917	-0.927908893	-0.515644745	1.030074338	0.638584001	1.007588637	2.324060203	1.651881728	0.314382452	-0.914155504	-0.332072301	0.114058047
ENSMUSG00000020883	Fbxl20	-0.562784177	-1.569003029	-1.014216655	-0.899812855	-0.043195185	-0.299339181	0.460030001	-0.065539216	-0.388554287	-0.997344309	-0.24725942	3.131690213	0.730256269	0.089737235	0.622432093	1.07503989	0.749851381	0.11965936	-0.407430857	-0.484217273
ENSMUSG00000020901	Pik3r5	-1.486296976	-1.340388074	-0.973497197	-0.767627677	-0.542620595	-0.222671155	0.361357645	-0.667361727	-0.782636654	-1.086184966	0.451387518	1.343713203	1.08164969	0.443370171	2.191962591	1.072555148	0.348445514	0.054819975	-0.499750763	1.019774327
ENSMUSG00000021190	Lgmn	-1.191529589	-1.360951211	-0.429283969	-0.342928873	-0.515689041	-0.464553622	-0.234558725	0.471680959	-0.388470556	-0.210613136	-0.180841485	-0.940464279	-1.118818436	0.764226986	2.329239462	0.153494125	2.369421997	0.18364044	0.621219164	0.485779789
ENSMUSG00000021495	Fam193b	-1.48177995	-0.461966063	-0.572306028	-1.067492489	-0.730449624	-0.967621239	0.27441319	0.572952173	-0.201061802	-1.180385603	-0.797751577	1.246270938	0.782706695	0.252508244	1.015942711	0.265152739	2.771780501	0.397665284	-0.046818729	-0.071759373
ENSMUSG00000021871	Gm49342	0.144787137	-0.922849448	-0.614380337	0.219734951	-0.261306	-0.613082496	0.45847551	-0.663832301	-0.439584326	-0.373656795	-0.640152634	-0.344357176	-1.149986232	0.507087766	3.119209158	0.458953866	1.757639577	-0.956221788	-0.137235958	0.450757526
ENSMUSG00000021990	Spata13	-0.989986781	-0.344500175	-0.22637522	0.040082454	-0.978418963	-0.144411515	-0.078674159	-1.993925299	-1.05409175	-0.354277618	-0.599366046	0.516163124	1.622770476	0.644382292	2.554686014	0.092228182	1.141184102	-0.238962013	0.138980503	0.25251239
ENSMUSG00000022126	Acod1	0.336989421	0.252032001	-0.411460451	-0.521718232	-1.253319961	-0.197621214	-0.176372664	-0.011549869	0.000280348	-0.553545761	-1.890815056	-0.12463452	0.851344116	0.996094329	2.803817317	1.248747788	-0.367569537	-1.094070968	-0.371633293	0.485006207
ENSMUSG00000022148	Fyb	-0.874304423	-0.112687791	-0.326069103	-0.189102762	-1.816327343	0.877082332	-0.011909859	-1.816327343	-0.996286435	-0.255837849	-0.70342096	1.073943669	0.375597426	-0.034518596	2.491624967	0.85623216	0.889110363	0.127811433	0.12921061	0.316179506
ENSMUSG00000022185	Acin1	-1.525702304	-1.748637417	-0.467634577	-1.385434431	-1.341965415	-0.182756116	0.434600951	0.132676378	-0.665996142	-0.769743795	-0.096487619	1.537769109	0.168629987	0.883194588	0.508529696	0.805617859	1.379474163	0.544142922	0.390454289	1.399267875
ENSMUSG00000022216	Psme1	-0.203494424	-0.156982943	-0.504161229	-0.090231091	-0.340944134	-0.883301804	-0.041402159	-0.716758148	-0.710639859	-0.616041719	-0.738324475	0.31540715	-0.536612179	-0.060678514	3.386377381	0.438222107	1.613585811	-0.888954875	0.607669624	0.12726548
ENSMUSG00000022220	Adcy4	0.150703922	-0.161226596	-0.789599348	-0.153628494	-2.031123795	-1.177415829	-0.769443632	-0.701727781	-0.397505974	-0.53692012	-0.544159066	1.074878976	-0.55610724	1.199597308	2.334915247	0.833743493	0.414338791	0.309947787	0.239910195	1.260822157
ENSMUSG00000022346	Myc	-2.042865012	-1.035586218	-1.563349728	-0.455803527	0.695162491	0.770252035	1.202734144	0.240560777	-0.224644208	-0.462306181	-0.596620894	1.130695739	1.573360461	0.018845125	-0.769923312	1.567318198	0.858729181	-0.541807528	-0.17085262	-0.193898925
ENSMUSG00000022415	Syngr1	-1.260832603	-1.224218383	-1.10486835	-0.877521726	0.623404411	-0.080302146	0.436634323	0.40261715	-0.218071176	-1.250596595	-0.166832085	-1.783204005	0.335295994	0.825972507	2.002615522	1.082984729	1.394690692	0.251185431	0.004807153	0.606239156
ENSMUSG00000022489	Pde1b	-1.109028443	-0.373615478	-0.665286993	-0.812133937	-1.037136974	-0.737018625	-0.32940429	-0.739779642	-0.534610987	-1.286904435	-0.441316667	1.783929041	1.304921303	-0.132001057	0.641016194	0.776664918	2.336083613	0.713601305	0.203515549	0.438505605
ENSMUSG00000022555	Dgat1	-0.569020785	-0.183809352	-0.870436668	-1.017456876	-0.767821045	-1.450907962	-1.181247122	0.367166834	-0.760102592	-0.706776984	-0.801567639	0.911944606	0.011603441	0.848045553	0.925005328	0.368836209	2.425892682	0.588701722	0.485261108	1.376689542
ENSMUSG00000022586	Ly6i	-0.721449318	-0.721449318	-0.182292396	-0.721449318	-0.721449318	-0.721449318	-0.483464124	-0.721449318	-0.122435866	-0.148176588	-0.430346996	-0.721449318	-0.721449318	1.021859031	2.931988628	1.641452474	0.961421075	-0.449675603	0.095179202	0.93608571
ENSMUSG00000022587	Ly6e	-0.888709451	-0.859229126	-0.495911898	-0.6547548	-0.652546639	-0.968340683	-0.402806231	-0.538704753	-0.475863139	-0.450403516	0.117289054	0.627994296	-0.608127773	0.573489372	3.413320755	0.851748799	0.8030307	-0.16044845	0.157899976	0.611073506
ENSMUSG00000022665	Ccdc80	-0.761924369	-1.032929783	-0.835629358	-0.929778771	-1.141138715	-0.683814448	-1.069724698	0.125998969	0.140039131	-0.312467458	-0.072499863	-0.018530563	-1.28626513	1.506936919	1.704366405	0.775892784	1.390097286	0.346031251	0.39581103	1.759529379
ENSMUSG00000022848	Dirc2	-0.867592309	-1.333873992	-0.172331593	0.088764208	-1.297087939	-1.092730095	0.088449279	-0.030688177	-0.055086351	-0.144290326	-0.007207055	-0.835818769	-0.353916426	0.131157537	1.158970646	0.480045499	3.275120022	0.199995617	0.233732805	0.534387419
ENSMUSG00000022901	Cd86	-0.58113177	-0.711126001	-0.761605906	-0.510246905	1.679306211	1.100633682	1.063660632	-0.834000776	-0.38381152	-1.179803889	-0.772646592	0.943189311	0.617595155	0.571642449	2.055443989	0.574902462	-1.06967619	-1.163252072	-0.802664942	0.163592672
ENSMUSG00000023349	Clec4n	0.754207646	1.129725894	0.475128612	0.71517742	1.001467583	-0.192692173	0.715792752	-0.341759718	-0.55826868	0.009158523	-1.617492873	-0.300604847	-1.044346691	0.184304764	1.512570839	-0.175726655	1.294546765	-2.263976955	-1.215986961	-0.081225243
ENSMUSG00000023353	Agap3	-1.461150522	-1.808515338	-0.023601303	-0.760939094	-0.341141492	0.015996822	0.258107366	-0.352225068	0.086785362	-0.186417253	-0.081406749	-1.398792672	0.057472976	0.545333492	1.063255106	0.45745267	2.95200209	0.454659962	0.303706579	0.219417066
ENSMUSG00000023961	Enpp4	-1.909576547	-1.295355684	-1.00803464	-1.504165585	-0.959816534	0.066795525	-0.580998746	0.646526082	0.644407276	-0.122858138	0.819583316	0.651709112	-1.046085395	1.112360749	1.580896642	0.631480711	0.483017055	0.373396237	0.168478463	1.248240102
ENSMUSG00000024014	Pim1	-2.183242303	-1.32721754	-0.938792937	-0.578003701	-0.632959004	0.049700583	0.316044314	-0.220192091	-0.570037946	-0.928548722	0.791032358	0.926679079	0.08472881	-0.359191832	1.735503634	0.628455329	1.55980166	1.370633518	0.40305268	-0.127445889
ENSMUSG00000024299	Adamts10	-1.434506553	-0.716692578	-0.965248436	-1.023463217	-1.061730996	-1.04609022	0.19788976	0.313232791	-0.657073466	-0.829511364	-0.067453719	-0.699098317	0.851515479	0.376321459	1.703616764	0.625601721	2.119039603	0.882013684	0.606431051	0.825206553
ENSMUSG00000024338	Psmb8	-0.608226617	-0.696782582	-0.661652653	-0.306531474	0.080557072	-1.260000021	0.001941725	0.166401796	-0.232420933	-0.42511447	-0.705436139	-1.028576737	-0.556969854	0.548015183	3.154423264	0.622794606	1.51202756	-0.533667387	0.817544731	0.111672928
ENSMUSG00000024339	Tap2	-0.757723342	-0.640443303	-0.400064015	-0.776294477	0.393908005	-1.293334769	-0.359905087	-0.13925833	-0.886341096	-0.222950192	-0.680700139	0.330280404	-1.101256836	0.640977651	2.723909409	0.710983247	2.047508355	-0.009954047	0.071062695	0.349595866
ENSMUSG00000024381	Bin1	-0.385769028	-1.572095094	-0.782314955	-1.10173697	0.471726379	-1.368281772	0.579053499	0.056779166	0.183889737	-0.717990297	0.031843662	-1.015024372	-1.443853818	0.617924338	1.594390145	0.88934192	1.71910217	0.483888641	0.922688323	0.836438325
ENSMUSG00000024610	Cd74	-1.138426437	-1.317866845	-1.133874698	-1.35968444	0.110335275	-0.796815689	-0.135321511	0.085008707	-0.561935655	-0.922306771	-0.051739564	0.69922831	-0.747920567	0.883063999	2.381460348	0.804953684	0.818921188	0.363774621	1.042905857	0.976240188
ENSMUSG00000024807	Syvn1	-1.102846151	-1.518639389	-1.505138547	-0.300175883	0.576558213	-0.65602457	-0.075882387	-0.602610162	-0.873642599	-0.396352796	0.572718118	0.255933165	-0.530157016	0.215068736	1.413024176	1.285160515	2.556587452	0.258253894	0.158026586	0.270138646
ENSMUSG00000025178	Pi4k2a	-0.889818285	-1.192751189	-0.935814194	-0.567294276	-0.954069446	-0.942926196	-0.746616414	0.98028098	-0.476604879	-0.169918884	-0.433800743	0.155235643	-0.435341567	0.676260186	1.826448216	0.402114521	2.627015203	-0.115327722	0.471090079	0.721838966
ENSMUSG00000025279	Dnase1l3	-0.639787195	-0.639787195	-0.3179088	-0.639787195	-0.639787195	-0.639787195	-0.207249993	-0.031215492	-0.639787195	-0.394507183	-0.639787195	-0.639787195	-0.639787195	1.33554331	3.175150304	1.291457836	0.087748454	-0.639787195	0.753398025	0.705455493
ENSMUSG00000025316	Banp	-2.140620965	-0.68647566	-1.486826959	-0.9117163	0.030994388	-0.710489491	0.892577525	-0.190545338	-0.741864288	-0.530351078	0.818022146	0.742746265	1.296430058	0.419485422	0.304749296	0.99538585	2.128422698	-0.203671173	-0.035631874	0.009379477
ENSMUSG00000025498	Irf7	-0.864426446	-1.554858287	-0.940033683	0.069206602	-1.231069196	-0.191751247	0.234832901	-0.336737397	-0.241091877	-0.353784485	-0.134148434	0.832948125	-1.176417161	1.08899837	1.976622982	2.237284363	0.469780682	-0.579178432	0.186267039	0.507555581
ENSMUSG00000025790	Slco3a1	-0.247114386	-0.193938259	-0.73021815	-1.135061856	1.037217557	0.2015463	0.565775677	-0.369628615	-0.809684674	-0.588797968	-1.135061856	-1.135061856	-1.135061856	0.185866731	2.562737818	0.826876434	-0.580219431	0.697476472	1.522832579	0.459519336
ENSMUSG00000025877	Hk3	-0.237280841	-0.119099182	-0.025131669	-0.004527381	-0.033067091	-0.646090656	-0.100216926	-0.749129678	-0.227392903	-0.12112092	-0.287298655	-1.399354406	-0.654662841	0.465809852	3.055384967	0.154434488	1.987282399	-0.503241449	-1.135108303	0.579811194
ENSMUSG00000026126	Ptpn18	-0.267493155	-0.825001502	-0.347069312	-0.286526707	0.642654826	-1.142547178	-0.373312274	-0.078235232	-0.826416951	-0.21715971	-0.885008802	1.877275378	-0.329491442	-0.103126394	2.034277931	0.52601327	2.302501455	-0.999014493	-0.172987565	-0.529332145
ENSMUSG00000026222	Sp100	-1.091652779	0.323878434	-1.322476277	-0.897512281	-0.355871706	0.375200075	-0.302081226	-1.11872276	-0.683263178	-0.735689827	-0.389479889	0.709356254	0.083265481	0.840788986	2.543010863	1.801264537	-0.49073039	-0.258485762	-0.095536496	1.064737942
ENSMUSG00000026536	Ifi211	-0.333436894	-0.714132291	-0.414131177	-0.090467833	-0.101299199	-2.116579546	-0.20240664	-0.773932296	-0.539600943	-0.588961585	-0.051876319	0.949768207	-0.086884641	1.226019449	2.096931909	1.573959755	0.707606643	-0.86336292	-0.798527774	1.121314096
ENSMUSG00000026864	Hspa5	-1.04339766	-0.946197118	-1.463925501	-1.313836457	0.030536094	-0.907096927	0.426175806	0.034964021	-0.781110018	-1.03591879	0.513995568	-0.132501371	0.322360042	1.319110488	1.344125065	0.317129381	1.965284875	0.575301455	-0.594928241	1.369929288
ENSMUSG00000027199	Gatm	0.199414465	-0.026929273	-0.299359068	0.118128841	-0.117699046	-0.280501886	-0.00394692	-0.983560654	-0.298570627	-0.404767508	-0.404387259	-1.103147331	-2.891505573	0.791328582	1.760555456	1.03041268	1.435953222	0.130358855	0.559147035	0.78907601
ENSMUSG00000027347	Rasgrp1	0.161338004	-0.241420357	0.07201143	-0.472344525	-1.145343212	1.033813518	0.079491622	-1.145343212	-0.594987031	-0.142676123	-1.145343212	-1.145343212	-1.145343212	0.392147981	2.511702178	1.31484906	1.241074253	-0.556894497	0.143315343	0.785295204
ENSMUSG00000027398	Il1b	-0.433733213	-0.871953375	-0.339950855	0.322493108	-1.719949973	-0.235527694	0.561633638	-1.540365357	-1.266987952	-0.270476675	-0.952491019	0.943090013	-0.543447847	0.59007345	1.985528983	0.77654292	1.044189584	1.432143006	-0.048675319	0.567864579
ENSMUSG00000027422	Rrbp1	-1.413623461	-1.434492349	-0.41691864	-1.299003659	-1.277167855	0.503827198	-1.036027706	-0.406527484	-0.398090882	0.012738332	0.277382314	1.335582187	1.158193063	1.196647267	1.694557527	0.348024824	-0.461430546	0.62066701	-0.236964984	1.232627845
ENSMUSG00000027435	Cd93	-1.794781381	-0.998262827	-1.047014801	-1.037620565	0.065342497	0.878224656	0.03192447	-0.131842575	-0.20665883	-0.505892544	0.235349582	-0.452822918	-1.385832274	1.080604182	2.026457257	1.034272053	1.291668416	0.149326879	-0.325638893	1.093197614
ENSMUSG00000027582	Zgpat	-0.691944766	-0.402838343	-0.712146536	-0.730283864	-2.127764877	-0.264852086	-0.134121927	0.099275072	-0.424890274	-0.467072743	-1.24305591	1.285420744	-0.279374127	0.967288182	1.359398606	0.651654268	2.365547512	0.167699944	0.198135386	0.383925738
ENSMUSG00000027611	Procr	-0.573589212	-1.060010073	-0.3433948	-1.377685265	-0.328023782	-0.715618788	-0.681026249	-0.105611397	0.221734088	-0.639845121	-0.528169749	0.523929217	-0.852148668	1.347280735	2.982999218	0.580305406	0.319604898	0.153897278	-0.149459511	1.224831775
ENSMUSG00000027829	Ccnl1	-1.422501898	-0.54471832	-1.470450811	-1.06652401	-0.753241039	0.91971052	0.164538352	0.507650033	-0.849463501	-1.345061083	-0.885434881	0.46267282	0.422096088	0.228622793	1.454053591	0.869711543	2.049586682	-0.012510033	0.782415635	0.488847521
ENSMUSG00000027947	Il6ra	-0.95967266	-0.658107451	-0.730083189	-0.474487322	-0.137059159	0.354643567	0.045732308	-0.851006162	-0.75506143	-0.846867469	-0.542161075	2.237711235	2.512137255	0.264135975	-0.014449798	0.931985105	-1.169451351	0.065833346	-0.158062382	0.884290657
ENSMUSG00000028076	Cd1d1	-0.09679947	-1.127496366	-0.587529165	-0.258883158	-0.021305899	-1.136786912	-0.090006245	-0.818417585	-0.357917115	-0.583874609	-0.553387631	-0.549637548	-0.520091249	1.171049952	2.792081595	0.525778323	1.875111566	-0.648586068	0.246709712	0.739987873
ENSMUSG00000028268	Gbp3	-0.182732387	-0.510656657	-0.683234924	-0.40771253	-1.426508299	-0.811161995	-0.0686719	-0.630139454	-0.416473186	-0.269851641	-0.449561004	1.175607299	-0.866183277	0.967302202	2.975998859	1.28802141	-0.052879352	-0.562145446	0.154053057	0.776929226
ENSMUSG00000028917	Plekhm2	-1.505527211	-1.148678364	-0.763255188	-1.037034788	-1.84121343	-0.603110277	-0.785452926	0.166516975	-0.100355617	-0.457919757	0.484682602	0.487832536	0.451132447	1.022905152	1.843416259	0.638996566	1.593904226	0.353935565	0.265272706	0.933952524
ENSMUSG00000029068	Ccnl2	-0.959202847	-0.631372974	-0.861352432	-0.586062419	-1.349559999	-0.376536073	0.357180605	-0.332100867	-0.103065125	-0.45215527	-0.813959991	0.411744723	-0.854730857	0.294035784	0.680169515	0.733504759	3.269315718	0.486954705	0.626006304	0.461186741
ENSMUSG00000029071	Dvl1	-0.518482155	-1.070590086	-0.990405628	-1.135294965	-1.540545529	-0.903620265	0.35592703	0.699678319	-0.028805049	-0.054081541	0.195474125	0.683438584	-1.24535599	0.329411136	0.387033699	1.049693922	2.770547165	0.469023176	0.125915319	0.421038733
ENSMUSG00000029207	Apbb2	-2.718384646	-0.746941083	-1.07569185	-1.064052594	0.734350796	0.570346221	0.154856974	-0.124512679	0.152369568	-0.425312111	0.745137984	-1.077099677	-0.598130114	0.662992392	1.422002063	0.910842129	0.474761377	0.401732779	0.242418994	1.358313476
ENSMUSG00000029298	Gbp9	0.134688303	0.265352058	-0.327895647	-0.418133978	0.106575305	-0.856307562	-0.160930033	0.05925604	-1.37292051	-0.743661067	-1.064046523	0.481350401	0.067498971	1.180224832	2.996316123	1.124110103	-0.534219467	-1.413859316	0.328427115	0.148174851
ENSMUSG00000029490	Mfsd7a	-1.439150233	-1.128373315	-0.614701783	-0.713044743	-1.776900656	-0.470151587	-0.687547203	0.439641351	-0.186328442	-0.245084529	-0.313461251	0.405020684	1.284757252	0.938714592	2.05697488	0.484298704	1.644383827	-0.035199005	-0.370415104	0.726566559
ENSMUSG00000029561	Oasl2	-0.693426123	-1.32138685	-0.901169988	-0.515724447	-0.28853203	-0.297055301	0.114119543	-0.91344637	-0.787556707	-0.940740031	0.265885388	0.745370594	-0.805682764	1.187512503	2.350644661	1.542403455	0.689791862	-0.85456315	0.286682474	1.136873281
ENSMUSG00000029714	Gigyf1	-1.315005278	-1.805848382	-0.954217486	-0.574238684	-0.823849912	0.069097062	0.223051608	0.20240858	-0.287777088	-0.094960158	-0.075548064	1.878292277	0.752142769	0.406201286	0.589465888	0.185679217	2.498506105	0.412977585	-0.55232264	-0.734054687
ENSMUSG00000030107	Usp18	0.385414507	-0.846433288	-0.0768714	0.339121859	0.010404932	-0.31871784	-1.141583416	-0.633443059	-0.013020974	-0.876427643	-0.518651001	-0.386602879	-0.814404094	0.798707888	2.306584376	2.265275052	0.427212283	-1.482049284	-0.313765942	0.889249921
ENSMUSG00000030157	Clec2d	-0.489942146	-0.121978489	-1.714749607	-1.068844771	-0.790200434	-0.754926563	0.110270931	0.265200246	-0.816526894	-1.71207617	-0.53294841	0.537994795	0.615359358	0.940105133	1.859987179	1.246240367	0.047296671	0.033158385	1.475266253	0.871314168
ENSMUSG00000030545	Pex11a	-0.019492398	-0.783811016	0.07628144	-0.739125069	-0.802217103	-1.086768539	-1.959086431	-0.550918009	-0.240299725	0.037040667	-0.363137556	-0.264651306	-0.840453093	0.916611507	2.170403164	0.12009762	1.633494955	0.737078257	0.660091928	1.298860707
ENSMUSG00000031444	F10	-0.294240049	0.085921721	-0.342270272	-0.616366268	-0.397141687	-0.289525501	-0.176549639	-1.008860163	-0.693994682	-0.310499163	-0.733432066	0.236129067	-1.102248853	0.581578674	2.495801232	0.039008344	2.762792107	-0.526793623	-0.178874318	0.469565138
