ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC034_T3_B_AMD_R1	SC035_T3_B_AMD_R2	SC036_T3_B_AMD_R3	SC037_T3_B_AMD_R4	SC038_T3_B_AMD_R5	SC034_T3_B_AMR_R1	SC035_T3_B_AMR_R2	SC036_T3_B_AMR_R3	SC037_T3_B_AMR_R4	SC038_T3_B_AMR_R5
ENSMUSG00000005533	Igf1r	1.454633101	0.381577703	0.936636572	0.685586614	0.141917993	0.378763641	1.461062967	1.356065964	-1.102319476	0.762038214	-0.371545148	-0.475546999	-1.071049182	-1.740428874	-0.781055891	0.467957438	0.457561818	-1.460629976	-1.310178882	-0.171047597
ENSMUSG00000005566	Trim28	0.08749316	0.836995384	0.372071968	0.712587756	0.96314765	2.051302045	1.578206384	-0.607021135	1.264020058	0.252250406	-1.053146734	-0.208031217	-0.254148989	-0.224163691	-0.167765863	-1.665785113	-0.853814119	-1.047623612	-0.920995121	-1.115579219
ENSMUSG00000005609	Ctr9	0.496265337	1.239918623	0.188272998	0.954483902	0.945537661	0.248138516	-0.155844912	1.082572033	0.600302129	1.94231554	-0.2948181	-0.759690085	-0.578347395	-1.849852477	-1.102757258	-0.760099459	-0.475581196	0.244830378	-1.86393225	-0.101713983
ENSMUSG00000005886	Ncoa2	0.420538181	0.200572269	1.426392258	0.628154389	0.73189328	-0.491013283	1.308289008	0.331977135	-0.430035713	2.555368188	-0.712961904	-0.201936647	-0.804351103	-1.254459641	-0.567936339	-0.096692969	0.221186039	-1.003701335	-1.534148155	-0.727133659
ENSMUSG00000005947	Itgae	-0.491757927	-0.117938267	0.615804149	0.763354667	-0.203072802	1.785813572	1.651017423	0.8561761	1.371470856	0.827691308	-1.71231254	-1.05939783	-0.592214754	-1.242304243	-0.611760639	-0.48923375	0.588208786	-0.725606269	-1.028736757	-0.185201083
ENSMUSG00000006050	Sra1	2.577129121	0.165301482	0.010684335	0.018293004	1.196885104	-0.403001029	1.247214778	0.52414176	1.218912198	0.483497194	-0.794994091	-1.153442074	-0.876687429	-0.827390085	-0.145660419	-0.584622011	-0.232177986	-1.661412334	-0.770097775	0.007426259
ENSMUSG00000006191	Cdkal1	1.08297164	1.369225315	0.498285415	1.07985489	0.271147006	-0.093279134	0.954384146	0.100746452	0.931492359	1.851194585	-1.332443392	-0.726587409	-1.367979604	0.044268691	-0.187571811	-1.619149829	-0.315694754	-0.882392611	-1.105969649	-0.552502305
ENSMUSG00000006398	Cdc20	0.587926006	0.006438574	0.362181713	0.471225137	-0.177067878	1.464345075	1.455331517	0.48759104	0.711986664	1.733399734	0.326457077	0.778549731	-0.514497008	-1.003472806	-0.608274794	-0.968653217	-0.962559879	-0.990193838	-1.758337555	-1.402375295
ENSMUSG00000006678	Pola1	0.961101102	0.588601553	0.18374739	1.139299099	0.509789775	1.063424052	1.173708633	1.329687533	0.886020152	1.049180376	-1.452386994	-0.239885803	-0.428809926	-1.417075567	-0.197665843	-1.012812478	-0.621549363	-1.020583053	-1.161412855	-1.332377785
ENSMUSG00000007080	Pole	1.009961157	1.04814808	1.105587272	0.544660765	0.436002731	0.600057507	1.257572756	0.944098932	-0.11790066	1.841185549	-0.312263387	-0.677249555	-0.422359274	-0.90161859	-0.495019281	-1.02078484	-1.474184879	-0.833101786	-1.380891054	-1.151901445
ENSMUSG00000007613	Tgfbr1	0.342800399	1.293433483	0.695692343	0.984342881	0.411531105	0.63653022	0.436228467	1.703391916	0.530386255	1.613758843	-0.411435051	-0.385087988	-0.418860442	-1.217779714	-1.057698218	-0.497240793	-0.620429323	-1.351348043	-1.482670996	-1.205545342
ENSMUSG00000007617	Homer1	0.792965598	0.747603088	-0.177494484	0.205989994	1.309207217	-0.06788358	0.448269665	1.037422234	-0.36797268	2.880105641	-0.059639734	-0.866579626	-0.313252423	-0.460498516	-0.485365003	-0.747986228	-0.558680813	-0.616773102	-1.108529297	-1.590907951
ENSMUSG00000007872	Id3	1.258873438	1.355453515	0.697906	1.502550146	1.279630275	0.737007453	0.543078724	0.493718405	0.336031165	0.092594124	-1.589520764	-1.30844335	-1.132754411	-1.421662296	-0.300423748	-1.198929589	-0.108720033	-0.560478442	-0.766622021	0.09071141
ENSMUSG00000008305	Tle1	0.774104388	0.622630141	0.077029896	0.997273207	1.019307279	1.659022264	1.129958746	0.8196273	0.755556012	0.897875871	-0.731994831	-0.591476926	-0.748362336	-1.561407828	-0.978627761	-1.107740106	-0.049595516	-0.824640637	-1.717620123	-0.440919039
ENSMUSG00000008384	Sertad1	1.114409155	0.397622061	0.665857705	0.321698469	0.556325877	1.335890813	1.555298736	1.409657309	1.42719154	0.113528096	-0.821217446	-0.407137696	-1.267287439	-0.803724166	-1.030650628	-0.913209189	-0.870951118	-0.954992783	-1.208188795	-0.620120502
ENSMUSG00000008393	Carhsp1	1.229361257	-0.465539433	0.983076208	0.579205079	0.315753969	1.354350173	1.583221467	0.5233952	1.134781658	0.260778111	-0.387370612	0.125559693	-0.722938828	-1.711609274	0.181498082	-0.44605601	-0.496625549	-0.88978114	-1.728633751	-1.422426301
ENSMUSG00000008859	Rala	1.39272326	0.058916682	0.027784915	0.645446004	-0.451629353	0.667315887	0.512880224	2.066319491	1.07765613	1.178885692	-1.296078228	0.186216914	-0.563944818	-1.015118644	-0.654150809	-0.324914868	0.089983131	-1.439192779	-1.750242072	-0.408856759
ENSMUSG00000009633	G0s2	0.752557203	0.76695096	0.570685094	0.736027432	0.928359044	0.996745846	1.028391555	1.240930016	1.390388876	0.879830815	-0.973420844	-1.437518691	-1.080731268	-1.307904867	-1.285288147	-0.592622428	-0.758287534	-0.421307637	-0.983118658	-0.450666768
ENSMUSG00000009772	Nuak2	1.268630301	0.677943093	1.096406106	0.85564755	1.322139898	0.376127819	1.074996509	0.77924383	0.68641779	0.599848193	-1.299658935	-1.955468519	-0.629455488	-1.12090791	-0.392036569	-0.943950419	-1.373021916	-0.432339654	-0.463413103	-0.127148575
ENSMUSG00000010067	Rassf1	1.303769126	0.318178886	0.181645024	0.517370483	1.588070548	0.653844785	1.802841201	1.441018685	-0.595487806	-0.425154548	-0.424107803	-2.05606711	-0.615484535	-1.481414966	-0.315556231	-0.168214736	-0.183954058	-0.26706827	-0.462314514	-0.811914159
ENSMUSG00000010095	Slc3a2	1.111808528	0.729035909	0.551937803	0.756973749	1.053396144	1.322977378	1.117839756	0.742473936	1.54566262	0.042193781	-0.928135521	-0.917033647	-1.221268833	-1.261103305	-0.274973074	-0.974191096	-1.080972544	-0.932070866	-1.191511182	-0.193039537
ENSMUSG00000010175	Prox1	0.731327438	0.929933204	1.214291928	1.103732372	0.976403871	0.164679852	0.483871624	0.602267387	0.10321983	1.002552471	-1.597865678	-2.533089683	-1.078345139	-1.05719478	-0.861721236	-0.497972145	0.219165335	-0.090977662	0.081826945	0.103894067
ENSMUSG00000010342	Tex14	0.98954215	0.922040366	-0.252640465	1.632032101	-0.013038649	0.6250607	0.289823355	1.358493361	1.109805005	0.940683076	0.282342092	-0.79582176	-0.686501292	-1.284632386	-1.993643595	-0.457350662	-1.582637008	-0.528943042	-0.434867268	-0.119746079
ENSMUSG00000010651	Acaa1b	0.574417819	0.39637353	0.405683694	0.262650628	0.849812055	1.251516807	1.624961847	1.312879566	1.001303165	-0.81754906	-0.838589916	-0.758575792	-1.178198477	-2.246506531	-0.044550076	-0.489934127	-0.03608065	-1.205913107	-0.552693097	0.488991723
ENSMUSG00000011148	Adssl1	-0.265386002	0.841655559	0.490058583	0.719808132	0.201381092	0.671964332	0.410350084	1.313471317	1.220799591	1.075911682	-0.54185496	1.159894969	-0.312011097	-0.952681667	-1.553913071	-0.402078721	0.46396375	-1.52988493	-1.26197069	-1.749477953
ENSMUSG00000011960	Ccnt1	1.33183916	0.333021857	0.780200569	0.051355803	1.48282498	0.423609237	1.019766001	0.66274225	1.038114631	1.067685193	-0.770062633	-2.261965333	-0.658540712	-0.7547736	-0.193643789	-0.329145838	-1.636704185	-0.681033886	-0.54722853	-0.358061175
ENSMUSG00000012443	Kif11	1.011431464	0.438145735	0.643097617	1.478153904	0.73506463	0.716784222	0.857840066	1.206518803	0.266285876	1.441195622	-0.636914152	-0.173832342	-0.436888675	-1.626078308	-0.437399191	-1.038033671	-0.678304026	-1.058141626	-1.400721887	-1.308204063
