ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC011_T3_F_AMD_R1	SC012_T3_F_AMD_R2	SC013_T3_F_AMD_R3	SC014_T3_F_AMD_R4	SC011_T3_F_AMR_R1	SC012_T3_F_AMR_R2	SC013_T3_F_AMR_R3	SC014_T3_F_AMR_R4
ENSMUSG00000000915	Hip1r	1.444592579	0.251783653	0.939248132	0.896977881	1.026777648	0.527338008	1.166419454	0.669186902	-0.985623963	0.529455328	-1.089933166	-1.420234022	-1.174425015	-1.23983592	0.590993642	-1.089188467	0.011595061	-1.055127736
ENSMUSG00000001123	Lgals9	-0.369871734	0.848457262	0.259276753	0.791868481	0.968075731	1.542906686	0.316737367	0.54699484	1.469363582	0.228024668	-0.346720047	-0.039491482	-0.423620297	-0.794571254	-1.557485139	-0.2563856	-2.309122502	-0.874437315
ENSMUSG00000001228	Uhrf1	1.204025278	0.855597046	-0.18891196	0.522351729	0.885798141	1.320080234	0.465708609	0.467560318	0.481081212	-0.946200555	-0.059174454	-0.221450965	0.510248128	0.675664581	-2.133830196	-1.507452088	-1.398133754	-0.932961303
ENSMUSG00000001517	Foxm1	0.409683508	-0.320826475	0.674042386	-0.12620714	0.49889857	1.413505183	1.076024433	-0.305997321	0.010592539	1.476596554	-0.060662424	0.72109673	-0.000533528	-0.012198976	-1.494129054	-0.104176197	-2.36364691	-1.49206188
ENSMUSG00000001552	Jup	0.899740367	0.700874803	0.75372313	0.824931514	0.738828111	0.936316768	1.156378854	0.472830081	0.416374804	0.560858366	-0.439088595	-1.469546163	-1.734189182	-1.561636464	0.446560218	-1.340664689	-0.323261925	-1.039029999
ENSMUSG00000001588	Acap1	0.493116299	1.008082081	0.684114622	0.783972419	0.963572955	0.784168254	0.748726539	0.872147234	0.974799739	0.659600775	-1.259997427	-1.855284151	-1.241114692	-0.809024271	-0.238842733	-1.642061903	-0.436899471	-0.489076269
ENSMUSG00000001768	Rin2	0.236165192	-0.048282053	0.059436926	-0.11997401	0.594184383	1.402743774	0.978486273	1.569675644	1.450663517	0.827815652	-0.461758932	-0.525948952	-1.495020886	-1.694626878	-0.178426161	-0.341155038	-0.895602801	-1.358375649
ENSMUSG00000001964	Emd	1.34690369	0.591464302	0.764287069	1.098007927	1.081081344	1.519505391	0.988677019	0.186472443	0.153362116	-0.241102326	-0.488923454	-0.987389657	-0.915137378	-1.518453226	-0.523071479	-1.705330579	-0.784908461	-0.565444741
ENSMUSG00000002043	Trappc6a	0.932822502	0.415893678	0.865467595	0.828522053	0.695673485	0.706738958	0.646987072	0.875218333	1.17083247	0.32857062	-0.553879646	-1.770058792	-2.038883395	-1.199262353	-0.531486769	-0.651196324	0.299410039	-1.021369527
ENSMUSG00000002055	Spag5	0.788940906	-0.159615632	0.515338101	0.708703963	-0.195522875	1.133626856	0.36634429	0.740781339	1.140216627	0.366869391	-0.767702188	-0.061591623	0.787085751	0.043372023	-1.933741423	-0.62946077	-2.594424051	-0.249220686
ENSMUSG00000002100	Mybpc3	0.959575411	0.943092106	1.332321529	0.864613937	1.249716451	-0.490886953	1.329569436	0.933147488	-0.005575725	-0.422562163	-1.372542689	-1.072721192	-1.311926661	-0.368270358	-0.464624617	0.188898117	-1.518818186	-0.77300593
ENSMUSG00000002428	Hltf	0.603600613	0.681214239	0.413249699	0.012901753	0.960459591	0.353388307	-1.418114476	1.528916751	0.79109839	1.078221347	-1.607504883	-0.974369589	-1.285123978	-1.580311241	0.807286718	0.369695833	-0.172798327	-0.561810749
ENSMUSG00000002668	Dennd1c	0.335952666	0.286582047	1.294835912	1.080854129	1.365920553	0.21166202	1.407325879	0.532805711	-0.570390483	0.848063891	-1.225756023	-0.278579668	-1.874707431	-1.350396657	-0.151445543	-0.989245827	-0.905857699	-0.017623478
ENSMUSG00000002944	Cd36	0.246558611	0.190364015	-0.014304551	-0.07487661	-0.965032292	0.639971688	0.025557763	1.702404072	1.070590497	0.726678861	-2.187464581	-1.710173613	-0.949628404	-0.548997076	0.070418317	0.28104769	1.406501463	0.090384148
ENSMUSG00000003382	Etv3	1.214851844	1.658887752	0.833642431	0.527329459	1.915394895	0.230921654	0.578013165	0.274457187	-0.529192366	-0.71361535	0.264539633	-0.336099562	-0.501260994	-0.531048981	-1.288410788	-1.47333378	-1.254243087	-0.870833113
ENSMUSG00000003500	Impdh1	0.18777199	0.740851788	1.6609098	0.213879282	1.199321747	0.985591207	1.079340694	0.521237574	0.761015937	0.312328402	-1.176619971	-1.271060625	-1.049734902	-1.447889841	-0.130604247	-0.939521888	-1.386557116	-0.260259833
ENSMUSG00000003545	Fosb	1.01976042	0.875335651	0.973574184	0.895665201	1.585819529	0.015253277	0.675501224	0.174344139	0.336982002	0.944715688	-0.630715513	-1.782186374	-0.987809555	-0.67956737	0.061083084	-1.542653385	-1.257916372	-0.67718583
ENSMUSG00000004270	Lpcat3	0.433474394	0.410043125	0.806742062	0.599969073	0.714116731	0.392528942	0.963977349	-0.238236952	0.65133743	1.127154584	-0.66111301	-1.592529738	-2.314650732	-1.076673611	0.784088485	-1.354363042	0.555580974	-0.201446064
ENSMUSG00000004568	Arhgef18	0.399256646	0.62897884	0.725684469	0.736846267	0.70670665	0.587304422	0.787278519	0.855747243	0.304748554	0.702033691	-1.043354354	-1.629066634	-2.560917848	-1.322054151	0.290629896	-0.559116942	0.384118105	0.005176628
ENSMUSG00000004609	Cd33	-0.327706396	0.102563588	0.082371282	0.275669195	0.372083105	0.667877626	0.604854353	1.544342844	0.716526171	2.040891829	-2.343213444	-0.835961669	-0.841070487	-1.077447392	0.206683458	-0.284929385	-0.764375438	-0.139159241
ENSMUSG00000004642	Slbp	0.68193787	0.982910389	0.534039292	0.969578684	0.634872646	0.055344446	1.049122535	0.605275599	1.245813916	0.435073187	0.223266678	-0.920757295	-0.909927578	-1.629145753	-1.019326926	-1.043005692	-2.04908489	0.154012892
ENSMUSG00000004665	Cnn2	0.086301593	0.786111779	0.388614455	0.266351843	0.690609578	1.027570666	0.974537619	0.938595259	-0.360124813	0.055468823	0.443013448	-0.595606101	0.031684369	1.01933624	-1.029495076	-1.532538811	-2.72819905	-0.46223182
ENSMUSG00000004880	Lbr	0.572952855	0.785338721	0.320569609	1.341966596	0.500951099	0.911581188	-0.143646793	0.773302271	0.342342962	1.02464223	0.303762103	0.073505151	0.174454432	-1.230269781	-1.881924231	-0.443589831	-1.580559715	-1.845378866
ENSMUSG00000005034	Prkacb	1.023375654	1.042410518	1.350635655	0.811294637	1.075621935	-0.280680356	0.412685986	0.155924706	0.270126432	1.266824967	-1.058629718	-1.646185341	-1.50665899	-0.788375785	0.101686608	-1.412203589	-0.73619182	-0.081661499
ENSMUSG00000005125	Ndrg1	1.215301392	0.388880218	0.939951723	0.398851299	0.847898326	0.022423946	1.532234572	0.697504114	0.329854514	1.113722576	-0.02625272	-1.33910196	-0.517374025	-1.231982953	-0.748986649	-1.173907631	-0.550294319	-1.898722424
ENSMUSG00000005360	Slc1a3	0.559463572	0.608298707	0.774995042	0.495016462	0.745319141	0.299611544	0.599102511	0.585947829	0.703395733	0.798683145	-1.414979513	-1.935008875	-1.982544728	-1.600408561	0.435252467	-0.261117164	0.69563411	-0.106661421
ENSMUSG00000005566	Trim28	0.185804321	0.705088376	0.380072435	0.611478473	0.782461681	1.528282124	1.197171997	-0.296763522	0.988234397	0.280648774	0.535406708	0.278202862	-1.617515194	-0.290889895	-1.184745554	-0.910792236	-1.367023867	-1.80512188
ENSMUSG00000006050	Sra1	2.084000128	0.341372052	0.224926359	0.229077364	1.082031545	-0.076398651	1.113732061	0.59260162	1.097695095	0.555182109	-1.142719214	-1.268157601	-0.723217434	-1.463761175	-0.082896155	-0.533008727	-0.680603081	-1.349856295
ENSMUSG00000006235	Epor	0.027437706	0.60374444	0.439216978	0.150795794	-0.008643697	0.697660765	0.437514892	-0.353489156	0.603454351	-0.256265511	-0.465895292	-0.672095649	-3.266688305	-0.871722079	0.6615728	0.843562779	1.391181739	0.038657447
ENSMUSG00000007613	Tgfbr1	0.287249991	1.16936631	0.611882608	0.876098931	0.34724268	0.554809537	0.363292756	1.535155653	0.456421386	1.441198607	-0.78361603	-1.970445298	-1.215935434	-1.230323805	-0.247079999	-0.551478223	-0.806345581	-0.837494089
ENSMUSG00000007850	Hnrnph1	0.692525281	0.502361892	1.044926331	0.667722894	1.91659943	-0.563019912	0.483016368	0.592553566	0.495782398	1.030903954	-2.265262384	-1.235535207	-0.937442719	-0.392662219	-0.385594701	-0.763287346	-0.572916087	-0.310671539
ENSMUSG00000007872	Id3	1.128061567	1.210346032	0.655078301	1.33339705	1.145112961	0.687660701	0.523488199	0.482440583	0.350233992	0.143887289	-1.257480557	-0.962860085	-1.326530655	-1.754700462	-0.280462062	-0.797868577	-1.248149725	-0.031654552
ENSMUSG00000008200	Fnbp4	0.337525767	0.197534067	0.500487694	-0.24733723	1.506420272	-0.211756744	0.52192847	0.597583491	0.813366812	1.292848476	-3.000437107	-1.113159712	-0.932802028	-0.101874086	-0.006695381	-0.125638165	-0.259196185	0.231201591
ENSMUSG00000008348	Ubc	1.111741034	1.183907226	0.531049763	1.04169514	0.551017707	0.79968836	0.711533369	-0.134490574	1.511319001	0.340739229	-0.530491022	-0.43935114	-0.632951462	-1.662023036	-0.914786226	-1.139178005	-0.597912	-1.731507365
ENSMUSG00000008384	Sertad1	1.013638615	0.307486217	0.570599009	0.230393448	0.461789032	1.231488291	1.446377988	1.30346663	1.321513374	0.020987527	-0.406835361	-1.075725822	-1.037073108	-0.968187264	-1.023815783	-1.176357037	-1.123674547	-1.096071207
ENSMUSG00000008393	Carhsp1	1.10460163	-0.182180212	0.916655923	0.608019801	0.40702824	1.197745168	1.367775941	0.563122519	1.030270797	0.35624617	-0.190239339	-0.899419421	-0.53831909	-1.788474198	-0.484760604	-0.363116425	-1.412178804	-1.692778093
ENSMUSG00000009633	G0s2	0.56059855	0.579136244	0.334298533	0.539734001	0.779042321	0.864211428	0.902857336	1.168035626	1.354629201	0.717002123	-1.073481673	-1.336154767	-1.899929474	-1.074339391	0.145032598	-0.939786736	-0.540772615	-1.080113305
ENSMUSG00000009772	Nuak2	1.245570022	0.575088562	1.04902374	0.773875673	1.305039061	0.22731551	1.020485828	0.685094507	0.580579839	0.475706157	-0.728573099	-1.546738914	-0.286314686	-1.618734702	-1.099657606	-1.402316739	-0.616023263	-0.639419889
ENSMUSG00000010067	Rassf1	1.19825406	0.479376562	0.376620058	0.621470311	1.404855648	0.721088319	1.559074392	1.29578302	-0.193441001	-0.075084936	-0.323369282	-0.957982024	-1.345754956	-1.362711315	-1.462831435	-0.412802888	-0.750854711	-0.77168982
ENSMUSG00000010095	Slc3a2	1.044641099	0.56392415	0.334975415	0.593266152	0.9681905	1.309725056	1.044908458	0.572039609	1.591398353	-0.323175604	-0.859601587	-0.942146485	-0.602208965	-0.341401502	-1.009054272	-1.553225985	-1.29564349	-1.0966109
ENSMUSG00000010175	Prox1	0.618448607	0.781431115	1.013307956	0.922646106	0.818427266	0.155392283	0.41516148	0.512258933	0.10520672	0.838189932	-1.371153454	-1.767690688	-1.984583617	-1.5024782	0.477014077	-0.751860965	0.489375624	0.230906825
ENSMUSG00000010651	Acaa1b	0.54629494	0.39732064	0.403129403	0.281348102	0.778464367	1.118776587	1.43288779	1.169671214	0.906654494	-0.638522751	-1.012413138	-2.179153558	-1.230453564	-1.005559805	-0.651588541	-0.723532214	0.684852367	-0.278176335
ENSMUSG00000012443	Kif11	0.795851195	-0.079071686	0.231457487	1.509264817	0.370917485	0.342985436	0.555458278	1.091224386	-0.347011423	1.444816288	-1.466798378	-0.664023709	0.836663642	-0.117188383	-1.233818469	-0.314200019	-2.098248035	-0.858278912
ENSMUSG00000012483	Rpa3	0.619626639	0.618340283	0.27957405	0.739186835	0.852886254	1.373231991	0.775493368	-0.370502838	1.409974502	0.18345815	-0.496365392	-0.57660768	0.47487688	-1.021435293	-1.915650228	0.086182957	-1.754318334	-1.277952145
ENSMUSG00000015165	Hnrnpl	0.861785578	-0.15930887	0.613355519	0.910198499	1.903668367	-0.239722612	1.485615374	0.933388689	-0.14925524	0.968776557	-1.25337085	-0.782101874	-0.45490875	-0.822397139	-0.8554136	-1.594053391	-0.815074362	-0.551181894
ENSMUSG00000015396	Cd83	0.686986631	0.838399859	0.963252665	0.544680144	1.573198804	0.860779296	0.42486025	0.876534344	0.578851608	0.443232169	-0.278547785	-1.711237879	-1.296191073	-1.371127147	-0.00606684	-1.258222949	-0.871908167	-0.997473932
ENSMUSG00000015467	Egfl8	-0.009598763	-0.165713081	0.970985151	1.023767427	1.23473675	-0.49834922	1.441313713	0.827886667	1.185644095	0.617015499	-1.981498843	-0.983923805	-1.276560346	-0.167354294	-0.497177784	-1.322752083	-0.323871577	-0.074549505
ENSMUSG00000015776	Med22	0.796187102	0.743652721	1.087110318	1.011723714	0.776077213	0.88293263	1.237248142	0.231975749	0.988940331	0.120061902	-0.652809884	-0.932093938	-1.889206001	-1.506418795	-0.95108614	-0.308619417	-0.519585722	-1.116089925
ENSMUSG00000015932	Dstn	0.800730341	0.50699961	0.667596195	0.889003654	-0.10726194	0.378619157	-0.363259911	1.159327109	1.691652068	0.480357658	-0.782449161	-2.501615436	-0.871836768	-0.245471973	0.648812295	-1.108501466	-0.499005706	-0.743695726
ENSMUSG00000015981	Stk32c	0.965614021	0.759563122	0.916046784	0.753586249	0.929358424	0.864358312	0.714321451	0.285427341	0.765427787	-0.260285399	-0.280674091	-0.998374291	-2.125343174	-1.687702426	0.645857975	-0.703993025	-0.187198337	-1.355990724
ENSMUSG00000016194	Hsd11b1	0.551250835	0.43493662	0.421724679	0.565974648	1.103204012	1.130709315	0.881634416	1.294314939	0.85774414	0.873128021	-0.596048725	-1.638218013	-0.698304672	-1.130148702	-0.444232902	-0.885157307	-1.171749749	-1.550761554
ENSMUSG00000016382	Pls3	1.156096275	0.543942686	0.592101649	1.002643334	0.272668705	1.005503448	0.148265188	0.235476872	0.548972688	0.355756342	-1.132541713	-1.227211845	-2.796602522	-1.099567384	0.614951779	-0.428460003	0.006975246	0.201029256
ENSMUSG00000016559	H3f3b	0.863699096	0.729211967	0.578727255	0.647596019	0.531250514	0.81140264	0.876696544	1.285317061	1.493046099	0.606480361	-0.957600192	-1.184907573	-0.969588393	-1.25308798	-0.901900217	-1.107139327	-0.883907672	-1.165296201
ENSMUSG00000016921	Srsf6	0.958896523	0.693083562	0.733147514	0.219048703	1.614225098	-0.411156137	0.027494746	0.810943173	0.892533878	1.055498836	-2.113129215	-1.252268419	-1.087262419	0.053514219	-0.162253319	-0.099035365	-1.489802459	-0.44347892
ENSMUSG00000017309	Cd300lg	0.848586907	0.934348086	0.947530481	1.044171977	0.275167471	-0.167005201	0.313373523	0.19348337	0.758810725	1.367379231	0.255104873	0.278436255	-1.047514219	-1.594882105	-0.067448287	-0.779201991	-1.760691534	-1.799649562
ENSMUSG00000017405	Nek8	0.851955638	0.522216657	0.259077753	1.061604775	1.495320461	0.234732807	0.962074741	1.076240492	0.53358554	-0.429117611	-0.418416452	-1.301605195	0.791305188	-1.373110254	-0.659685598	-1.102643686	-1.883360489	-0.620174768
ENSMUSG00000017418	Arl5b	0.912028376	0.860815434	1.125178978	0.387039481	1.0388006	0.415272689	0.657705768	0.363825118	-0.504423053	1.586664603	-1.654699786	-1.471160913	-0.436303507	-0.536616512	0.130147273	-1.706332915	-1.048570036	-0.119371598
ENSMUSG00000017485	Top2b	1.272457273	0.447732887	0.745285268	0.626250288	1.154871588	-0.372275467	0.650854073	0.468068594	0.066841753	1.512896309	-0.825063848	-2.523840437	-0.570234575	-1.133091975	-0.07796773	-1.017705935	-0.084686238	-0.34039183
ENSMUSG00000017677	Wsb1	1.338790524	0.401682818	0.676951651	0.655945405	1.415623498	0.087528602	0.934055788	0.518219929	1.224332545	0.064496329	-0.841609824	-1.146218175	-1.471049028	-1.874904559	0.236751079	-0.55591415	-0.67438748	-0.990294949
ENSMUSG00000017716	Birc5	0.628800038	-0.030490012	0.104239414	1.545999341	0.201534369	0.929606945	0.482471155	0.41922309	0.661156596	1.214314716	-0.365930345	0.375609939	0.524050268	-0.557390889	-1.816590318	-1.780530382	-1.732405224	-0.8036687
ENSMUSG00000018169	Mfng	0.573105187	0.934485768	-0.11363614	1.186594915	0.805519834	0.768070896	1.026736501	0.430773242	0.682939789	0.350692245	-0.997289664	-1.197822528	-1.853249145	-1.13810897	-0.57393865	0.153822845	0.756920722	-1.795616848
ENSMUSG00000018334	Ksr1	0.26351749	0.191952047	-0.36730205	-0.359773684	-0.094213772	1.642373906	1.070581297	1.355856982	1.004185918	1.36688961	0.354637033	-0.16199274	-0.302014891	-0.768647503	-1.029515549	-1.400988792	-0.946312796	-1.819232506
ENSMUSG00000018341	Il12rb2	0.917583106	-0.007935202	0.881056739	0.408321326	0.748432819	0.222945067	0.429512984	0.757576282	0.72551671	1.542338038	-0.577620396	-2.26720871	-1.653866015	-1.147065687	0.611598739	-0.887650097	-0.291849733	-0.41168597
ENSMUSG00000018362	Kpna2	1.019204264	0.471659148	0.160682448	0.810311024	-0.045550666	1.299429673	-0.109974217	0.049915096	1.293527451	0.635039011	-0.082254603	0.374017797	0.329715098	-0.127700585	-1.512329137	-0.436440549	-2.061530178	-2.067721076
ENSMUSG00000018378	Cuedc1	0.679199734	0.366242448	0.2671483	0.414729907	0.536682565	0.467040381	2.444397091	0.691692671	0.331877533	0.91176722	-0.315064382	-1.700044211	-0.791239803	-1.553526181	-0.537310464	-1.150192063	-0.696134774	-0.367265972
ENSMUSG00000018476	Kdm6b	0.916555281	0.676502109	0.611286724	0.474188212	1.422698152	0.517095436	1.284210454	0.59540447	0.333453889	1.06286533	-0.329885423	-0.845946663	-1.560421085	-1.368320921	-0.16153988	-1.269691921	-1.087907574	-1.27054659
ENSMUSG00000018541	Cwc25	0.868585821	0.314798979	0.691705497	0.529559038	0.931996262	1.249185939	1.011825706	0.815850918	1.159069631	0.530015231	-1.103028761	-0.862076428	-0.252299212	-1.806355288	-0.782813031	-1.07402502	-0.862657265	-1.359338019
ENSMUSG00000018569	Cldn7	0.714812495	0.882919772	0.65576998	1.193404567	0.669485762	0.986433342	0.111799522	0.848931992	0.700638116	-0.688020308	-0.599753122	-1.64050118	-1.044512049	-1.285740477	-0.02085894	-1.795935411	1.068589271	-0.757463331
ENSMUSG00000018581	Dnah11	0.783543648	0.719646201	1.015586421	0.531632585	0.644860922	0.768881616	0.450651915	0.365609978	-0.139341153	1.447403356	-0.78441257	-2.163824624	-0.816635729	-1.049242387	0.282975856	-1.858287945	0.389138337	-0.588186428
ENSMUSG00000018865	Sult4a1	1.226716909	1.517850758	0.772403456	0.380540392	0.962411955	0.100431237	1.295898393	0.324300945	0.932103188	-0.64708569	-1.547444775	-0.341127219	-0.933162967	-1.40921753	-0.749738076	-0.445618377	0.079565734	-1.518828334
ENSMUSG00000018868	Pnpla5	0.741963173	0.546969688	1.225579342	0.79906472	0.881996841	0.180691122	1.211995976	0.676747994	0.915301465	0.634666234	-0.999598575	-1.922319819	-0.837859538	-1.619017085	-0.309941022	-1.181653545	-0.27803679	-0.66655018
ENSMUSG00000018965	Ywhah	1.001179073	0.064941348	0.140636779	0.980008087	0.370061638	1.12578204	0.768990419	1.35117744	0.830887005	0.451689757	-0.35412446	-1.831870746	-0.21211278	-0.754073199	0.269358036	-1.795651173	-1.135430274	-1.271448993
ENSMUSG00000019312	Grb7	0.414075148	0.639666198	0.66328962	1.132606117	0.673937451	-0.250486196	0.872919541	0.579734955	0.617007654	0.304098883	-1.838119585	-2.132286005	-1.110501223	-1.252586797	-0.128374238	-0.049564564	1.294911389	-0.430328349
ENSMUSG00000019577	Pdk4	0.007287956	0.687059277	0.565610565	0.137476074	0.236703991	0.542001448	0.732485599	0.576781291	1.04831462	0.447875036	-1.689036899	-1.768671551	-2.26203908	-1.045204053	0.513722429	0.387188769	1.02303952	-0.140594992
ENSMUSG00000019779	Frk	0.63165672	0.598218823	0.65666157	0.667230431	0.803454994	0.454306713	0.754270992	0.634830998	0.701498382	0.753802628	-1.074839713	-2.2296468	-2.060854098	-1.121284962	0.228042853	-0.603205903	0.558175904	-0.352319533
ENSMUSG00000019822	Smpd2	0.894157164	0.015356206	1.033351447	0.09499706	0.647083992	1.524191443	1.061123326	-0.968517307	1.574151797	0.762254213	0.205635273	-1.163353802	-0.979081048	-1.110272694	-0.981888467	-0.820551978	-0.428200132	-1.360436491
ENSMUSG00000019851	Perp	0.880843936	0.46270854	0.860841225	0.671312238	0.395869757	0.733703217	0.745082532	1.435714955	1.343518823	0.468298556	-0.754301465	-1.981659415	-1.066936928	-1.111151139	-0.933961417	-0.944830917	-0.355058241	-0.849994258
ENSMUSG00000019866	Crybg1	1.07066655	0.622730231	0.996038965	0.373835225	0.846298038	0.436665067	0.986099298	0.96370119	0.054587009	1.09275552	-0.248711963	-1.59831323	-1.649637113	-1.460956022	0.270428962	-1.30964444	-0.82869657	-0.617846717
ENSMUSG00000019876	Pkib	0.336903495	0.301109872	1.114659175	0.402271005	0.082345619	0.097773275	0.029955485	1.034306873	1.220518164	1.524265949	-1.925927694	-1.756725517	-1.03028707	0.276420999	0.091655502	-1.56605123	0.070717216	-0.303911116
ENSMUSG00000019917	10-Sep	1.041817479	0.217344839	0.369839196	0.849243795	0.153948389	0.66574274	0.644492339	0.527204943	0.565792058	0.999944218	0.118862449	-2.780314351	-0.775113687	-1.215605949	-0.762643425	-1.33965929	0.170474378	0.548629881
ENSMUSG00000019923	Zwint	0.7687904	0.452746143	0.473804894	0.232435859	0.888664351	0.756536533	-0.342819717	1.07183354	1.125805427	1.514738529	-1.045418856	-1.81724289	-0.719066851	-0.696155644	-0.695725604	-1.530678516	0.622055815	-1.060303413
ENSMUSG00000019942	Cdk1	0.270651322	0.480037033	0.692591213	0.47557755	-0.384551571	1.207391376	1.018037183	0.747096281	0.812682607	-0.048653324	-0.976282665	0.234758991	1.08038366	-0.296009521	-2.403336793	-0.862852803	-1.813572321	-0.233948217
ENSMUSG00000020029	Nudt4	1.060907805	0.127078991	1.431719405	0.689285492	0.113245437	0.639071452	0.845226902	0.938445545	0.418192915	1.308319181	-0.474555834	-1.181349431	-0.737870004	0.171024744	-1.101025727	-1.424701222	-1.479513664	-1.343501987
ENSMUSG00000020105	Lrig3	0.819007901	0.387723206	0.841287978	1.080299533	0.628720044	0.867684647	0.697243354	0.242874208	0.373459999	0.854992193	-1.592870425	-1.514090545	-1.918020323	-1.339349413	0.145163686	-1.023841937	0.590567063	-0.14085117
ENSMUSG00000020120	Plek	1.822990372	0.575811176	1.040235993	0.447391271	1.358013872	-0.092558351	0.674592085	0.382666489	-0.160280883	0.392377054	0.089019622	-0.926610627	-1.53303174	-1.779196235	0.265744072	-0.16389214	-0.990047289	-1.403224741
ENSMUSG00000020128	Vps54	0.235141899	0.396239942	0.473975818	0.0171604	0.857433231	0.394725437	0.425233781	1.264017813	0.413811733	1.600841903	-1.366378545	-2.467328452	-0.83652667	-0.716577281	0.734512337	-1.190037261	-0.180138864	-0.056107218
ENSMUSG00000020160	Meis1	0.480156952	0.707633146	0.431731274	0.64488248	0.497569476	0.585711627	0.552616138	0.640835546	0.525696463	1.477259819	-2.038360189	-1.817400964	-1.453630974	-1.379340414	0.463816058	-0.140830401	0.208109669	-0.386455708
ENSMUSG00000020205	Phlda1	0.938136237	0.675912676	0.465819927	0.455006158	1.485598387	0.507801909	0.786988743	0.839613071	0.957455536	0.692512897	-0.945391215	-1.593631477	-0.706785392	-1.103812666	0.213280426	-1.679485877	-0.824322202	-1.164697138
ENSMUSG00000020262	Adarb1	-0.292112972	0.143200186	0.985126755	0.089274154	1.18485137	0.299540588	0.876399739	0.236767902	0.014535671	1.981221242	-1.910058071	-1.75335741	-0.699942094	-0.248476273	-0.342087495	-1.342257159	0.090810518	0.686563349
ENSMUSG00000020275	Rel	0.285370141	0.267742829	0.800884057	0.102202677	1.153451682	0.42529833	0.934698719	0.952584234	-0.411313689	1.957691735	-0.649743442	-1.819101993	-0.866992418	-1.189438951	0.402027019	-1.595676755	-0.290253173	-0.459431
